Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
MTC Trading,,,"地址: Office 15, 4th Floor, Al Kharji Bulding (opp. Bank AL Arabi), Dabab Street, Riyadh 11323沙特阿拉伯 ",http://mtc.com.co/,电话: +966 58 155 5125 ,"sales@mtc.com.co, ejaz@mtc.com.co",Pantry cabinet trading company,"Riyadh, Riyadh, Saudi Arabia",2026-05-11 11:16
أبيات,,,"地址: 4244 Northern Ring Br Rd, Al Ghadir, Riyadh 13311沙特阿拉伯 ",https://www.abyat.com/,电话: +966 800 121 5555 ,,Pantry cabinet trading company,"Riyadh, Riyadh, Saudi Arabia",2026-05-11 11:16
Colombus Kitchen - كولومبوس تجهيز المطاعم والمخابز,,,"地址: حي، 7441 King Fahd Rd، 3235،, Riyadh 12612沙特阿拉伯 ",https://colombuskitchen.com/?utm_source=Google&utm_medium=Organic&utm_campaign=GMB,电话: +966 56 600 7259 ,,Pantry cabinet trading company,"Riyadh, Riyadh, Saudi Arabia",2026-05-11 11:16
شركة سندباد الجزيرة لتجارة والصناعة,,,"地址: 2709-2943 Al Madina Al Munawwarah Rd, Al Sina'iyah, Riyadh 11458沙特阿拉伯 ",https://sindibad-aljaziera.com/ar/,电话: +966 56 485 6677 ,,Pantry cabinet trading company,"Riyadh, Riyadh, Saudi Arabia",2026-05-11 11:17
شركة خط المطابخ السعودية (Kitchen Line ),,,"地址: 4485 Al Imam Saud Ibn Abdul Aziz Branch Rd, At Taawun, Riyadh 12476沙特阿拉伯 ",https://kitchenline.com/ar,电话: +966 800 124 0420 ,info@kitchenline.com,Pantry cabinet trading company,"Riyadh, Riyadh, Saudi Arabia",2026-05-11 11:17
Fathi AL-Mohtaseb Trading Co.,,,"地址: ABAN COMMERCIAL CENTER, 7534 King Abdulaziz Rd, Al Ghadir, RIYADH CENTRAL PROVINCE KINGDOM OF SAUDI ARABIA, DISTRICT 13311沙特阿拉伯 ",http://www.al-mohtaseb.com/,电话: +966 9200 04999 ,customerservice@al-mohtaseb.com,Pantry cabinet trading company,"Riyadh, Riyadh, Saudi Arabia",2026-05-11 11:17
Ina Aljazeera Trading Co,,,"地址: السبالة، حي, Al-Shemaysi, Riyadh 12745沙特阿拉伯 ",,电话: +966 50 218 4445 ,,Pantry cabinet trading company,"Riyadh, Riyadh, Saudi Arabia",2026-05-11 11:17
CHBIB,,,"地址: 7412 King Abdul Aziz Branch Rd, Al Wurud, Riyadh 12252沙特阿拉伯 ",http://www.chbib.com/,电话: +966 11 460 2086 ,,Pantry cabinet trading company,"Riyadh, Riyadh, Saudi Arabia",2026-05-11 11:18
Hospitality Center,,,"地址: Al Ghail Street 7921 P.O.Box 366475 Riyadh 11393, Riyadh 沙特阿拉伯 ",http://www.hospitalitycenter.com/,电话: +966 11 463 0031 ,,Pantry cabinet trading company,"Riyadh, Riyadh, Saudi Arabia",2026-05-11 11:18
KAFCO Kitchens,,,"地址: 7424 Al Takhassousi, Al Mathar Ash Shamali, Riyadh 12314沙特阿拉伯 ",https://www.kafco-kitchens.com/,电话: +966 11 488 5013 ,,Pantry cabinet trading company,"Riyadh, Riyadh, Saudi Arabia",2026-05-11 11:18
