Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
Elite Sanitary Trading,,,"地址: 269 Changi Rd, 新加坡 419752 ",https://elite269.sg/,电话: +65 6842 3898 ,elite269e@gmail.com,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:29
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:30
Home & Bathroom Building Products Pte Ltd,,,"地址: 566 Balestier Rd, 新加坡 329883 ",http://www.homeandbathroom.com.sg/,电话: +65 6253 4655 ,sales@homeandbathroom.com.sg,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:30
HERA Bathroom Experience Center,,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:31
Spazio Home & Bath Pte Ltd,,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:31
Homus Singapore @ T-Space (Bathroom Fixtures & Home Appliances Showroom),,,"地址: Tampines North Dr. 1, #01-18 T-Space Building, 新加坡 528559 ",https://www.homussingapore.com/,电话: +65 8089 2811 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:31
Bathzone Pte Ltd,,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:31
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:32
BATHCRAFT (Climate Vouchers Accepted) (Bathroom & Lighting & Kitchen Appliances Showroom),,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:32
Heritage Bathroom Gallery,,,"地址: 65 Ubi Rd 1, #01-89 Oxley Bizhub, 新加坡 408729 ",https://bathcraft.com.sg/,电话: +65 9896 8585 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:33
Tuscani Tapware,,,"地址: 718 Geylang Rd, 新加坡 389630 ",https://heritagebathroomgallery.com.sg/,电话: +65 6846 9130 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:33
Bathroom Warehouse Bukit Merah,,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:33
Everyhome.SG | Online Home and Bathroom Supply Store,,,"地址: 1090 Lower Delta Rd, #04-06, 新加坡 169201 ",https://everyhome.sg/,电话: +65 6232 6612 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:33
King Eco Pte Ltd,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:34
Sim Siang Choon Hardware(S) Pte Ltd,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:34
BOSHSINI,,,"地址: 42 Changi South Street 1, 新加坡 486763 ",https://simsiangchoon.com/,电话: +65 6266 6632 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:34
Tapz & Coffee,,,"地址: 666 Geylang Rd, 新加坡 389594 ",https://www.boshsini.com.sg/,电话: +65 9855 0189 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:34
Hoe Kee Superstore Pte Ltd (Jalan Besar Showroom),,,"地址: 1 Jalan Berseh, #01-09 to #01-13 New World Centre, 新加坡 209037 ",http://www.hoekee.com.sg/,电话: +65 6392 9909 ,enquiries@hoekee.com.sg,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:35
W. Atelier Singapore - Main Showroom,,,"地址: 1 Jalan Berseh, #01-09 to #01-13 New World Centre, 新加坡 209037 ",http://www.hoekee.com.sg/,电话: +65 6392 9909 ,enquiries@hoekee.com.sg,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:35
Budget Home,,,"地址: 201 Henderson Rd, #01-01, 新加坡 159545 ",https://www.watelier.com/?utm_source=GMB&utm_medium=organic,电话: +65 6270 8828 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:35
Bacera Bathroom and Kitchen Connoisseur,,,"地址: 714 Geylang Rd, 新加坡 389628 ",https://www.bacera.com.sg/,电话: +65 6842 1101 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:36
OXO Ceramic- Hosin Trading Pte Ltd (Jalan Besar Branch),,,"地址: 138/140 Jln Besar, 新加坡 208858 ",http://hosin.com.sg/,电话: +65 8363 0244 ,main@hosintrading.sg,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:36
Sim Siang Choon,,,"地址: 138/140 Jln Besar, 新加坡 208858 ",http://hosin.com.sg/,电话: +65 8363 0244 ,main@hosintrading.sg,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:36
My Showroom Pte Ltd,,,"地址: 2 Jurong East Street 21, #03-10, 新加坡 609601 ",http://simsiangchoon.com/,电话: +65 6563 6493 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:37
Tuscani Tapware,,,"地址: 50 Genting Ln, #03-03 实达工业大厦新加坡 349558 ",http://www.tuscanitapware.com/,电话: +65 8938 8912 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:37
Everyhome.SG | Online Home and Bathroom Supply Store,,,"地址: 1090 Lower Delta Rd, #04-06, 新加坡 169201 ",https://everyhome.sg/,电话: +65 6232 6612 ,,Bathroom furniture commercial supply,"Singapore, Singapore, Singapore",2026-05-11 17:38
