Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
HERA Bathroom Experience Center,,,,,,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 16:57
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 16:57
W. Atelier Singapore - Main Showroom,,,"地址: 201 Henderson Rd, #01-01, 新加坡 159545 ",https://www.watelier.com/?utm_source=GMB&utm_medium=organic,电话: +65 6270 8828 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 16:58
Homus Singapore @ T-Space (Bathroom Fixtures & Home Appliances Showroom),,,"地址: 201 Henderson Rd, #01-01, 新加坡 159545 ",https://www.watelier.com/?utm_source=GMB&utm_medium=organic,电话: +65 6270 8828 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 16:58
Heritage Bathroom Gallery,,,"地址: 718 Geylang Rd, 新加坡 389630 ",https://heritagebathroomgallery.com.sg/,电话: +65 6846 9130 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 16:58
Hansgrohe Singapore & The Water Studio Singapore,,,"地址: 718 Geylang Rd, 新加坡 389630 ",https://heritagebathroomgallery.com.sg/,电话: +65 6846 9130 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 16:58
Mobili Living @ Woodlands,,,"地址: 21 #01-04 Woodlands Cl, 新加坡 737854 ",http://www.mobili.sg/,电话: +65 6251 4662 ,sales.Mobiligroup@gmail.com,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 16:59
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 16:59
Bathroom Gallery Changi Showroom by Wan Tai & Co Pte Ltd,,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:00
Comfort Design Pte Ltd,,,"地址: 110 Eunos Ave 7, Comfort Design Building, 新加坡 409573 ",https://www.comfortfurniture.com.sg/,电话: +65 6747 4809 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:00
Home & Bathroom Building Products Pte Ltd,,,"地址: 110 Eunos Ave 7, Comfort Design Building, 新加坡 409573 ",https://www.comfortfurniture.com.sg/,电话: +65 6747 4809 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:01
Lucky Khoon Bathroom Studio (Tradehub 21),,,"地址: 24 Boon Lay Wy, #01-72/73, 新加坡 609969 ",http://www.luckykhoon.com.sg/,电话: +65 6795 5835 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:01
My Showroom Pte Ltd,,,"地址: 24 Boon Lay Wy, #01-72/73, 新加坡 609969 ",http://www.luckykhoon.com.sg/,电话: +65 6795 5835 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:01
Bathlabz Vertex,,,"地址: 33 Ubi Ave 3, #01-54, Singapore 408868 ",http://www.bathlabz.com.sg/contact/,电话: +65 6684 9512 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:02
Bathroom Warehouse Changi (HQ),,,"地址: 25 Changi South Ave 2, Level 2 OCH Building, 新加坡 486594 ",http://bathroomwarehouse.com.sg/,电话: +65 6542 0859 ,sales@bathroomwarehouse.com.sg,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:02
Bath & Co Luxury Design Pte Ltd (By Appointment Only),,,"地址: 25 Changi South Ave 2, Level 2 OCH Building, 新加坡 486594 ",http://bathroomwarehouse.com.sg/,电话: +65 6542 0859 ,sales@bathroomwarehouse.com.sg,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:03
The Galleria by The Furniture Mall,,,"地址: 11 Woodlands Cl, #03-34 WOODLANDS 11, 新加坡 737853 ",http://www.bathnco.com.sg/,电话: +65 8797 8739 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:03
King Eco Pte Ltd,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:04
Danish Design Co,,,"地址: 100e Pasir Panjang Rd, #06-03 B&D Building, 新加坡 118521 ",https://danishdesignco.com.sg/,电话: +65 6270 8483 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:04
Home Guide Design & Contracts Pte Ltd,,,"地址: 2 Leng Kee Rd, #02-03 Thye Hong Centre, 新加坡 159086 ",https://www.homeguide.com.sg/,电话: +65 6253 2539 ,hello@homeguide.com.sg,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:04
Budget Home,,,"地址: 2 Joo Chiat Rd, #01-1149 Joo Chiat Complex, 新加坡 420002 ",https://www.carousell.sg/u/budgethome/,电话: +65 9732 1308 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:04
Rigel Experience Centre,,,"地址: 2 Joo Chiat Rd, #01-1149 Joo Chiat Complex, 新加坡 420002 ",https://www.carousell.sg/u/budgethome/,电话: +65 9732 1308 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:05
Modern Space Living,,,"地址: 15 Yishun Industrial Street 1, Singapore 768091 ",http://www.modernspaceliving.sg/,,sales@modernspaceliving.sg,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:05
Tan Boon Liat Building,,,"地址: 315 Outram Rd, Singapore 169074 ",,,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:05
King Eco Pte Ltd,,,"地址: 315 Outram Rd, Singapore 169074 ",,,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:05
Stock and Form,,,"地址: 315 Outram Rd, Singapore 169074 ",,,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:05
Home Factor,,,"地址: 315 Outram Rd, #07-02, 新加坡 169074 ",,电话: +65 8886 3093 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:06
HipVan,,,"地址: 315 Outram Rd, #07-02, 新加坡 169074 ",,电话: +65 8886 3093 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:06
Boon Huat Interior Design,,,"地址: Blk B #01-08, Clarke Quay Entrance Beside, Clarke Quay, Drop Off, 新加坡 179021 ",https://www.hipvan.com/,电话: +65 6291 1725 ,"b2b@hipvan.com, wecare@hipvan.com",Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:06
My Showroom Pte Ltd,,,"地址: Blk 9 Kaki Bukit Rd 1, #01-06, 新加坡 415938 ",http://www.myshowroom.com.sg/,电话: +65 6547 5416 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:06
Yeoka Lights and Bath,,,"地址: Blk 9 Kaki Bukit Rd 1, #01-06, 新加坡 415938 ",http://www.myshowroom.com.sg/,电话: +65 6547 5416 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:06
Blum Singapore Experience Centre,,,"地址: 150 Ubi Avenue 4, #02-01 Ubi Biz-Hub, 150 Ubi Ave 4, 新加坡 408825 ",http://blum.com/sg/en/,,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:07
Danish Design Co,,,"地址: 100e Pasir Panjang Rd, #06-03 B&D Building, 新加坡 118521 ",https://danishdesignco.com.sg/,电话: +65 6270 8483 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:07
The Designers by Ban Yew,,,"地址: 100e Pasir Panjang Rd, #06-03 B&D Building, 新加坡 118521 ",https://danishdesignco.com.sg/,电话: +65 6270 8483 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:07
Home & Bathroom Building Products Pte Ltd,,,"地址: 566 Balestier Rd, 新加坡 329883 ",http://www.homeandbathroom.com.sg/,电话: +65 6253 4655 ,sales@homeandbathroom.com.sg,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:08
Maxi Home,,,"地址: 566 Balestier Rd, 新加坡 329883 ",http://www.homeandbathroom.com.sg/,电话: +65 6253 4655 ,sales@homeandbathroom.com.sg,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:08
Häfele Singapore Showroom & Head Office,,,"地址: 5 Ubi Link, #02-01, 新加坡 408548 ",http://www.maxihome.com.sg/,电话: +65 6518 9649 ,enquiry@maxihome.com.sg,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:08
Picket&Rail Carpentry Kitchen Cabinets Renovation & Interior Design,,,"地址: 1 Kaki Bukit Rd 1, #01-27/28 Enterprise One, 新加坡 415934 ",https://www.hafele.com.sg/,电话: +65 6494 7400 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:08
Home Guide Design & Contracts Pte Ltd,,,"地址: 2 Leng Kee Rd, #02-03 Thye Hong Centre, 新加坡 159086 ",https://www.homeguide.com.sg/,电话: +65 6253 2539 ,hello@homeguide.com.sg,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:09
Hoe Kee Hardware Pte Ltd (Genting Road Showroom),,,"地址: 2 Leng Kee Rd, #02-03 Thye Hong Centre, 新加坡 159086 ",https://www.homeguide.com.sg/,电话: +65 6253 2539 ,hello@homeguide.com.sg,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:09
Island Living,,,"地址: 8 Genting Rd, 新加坡 349472 ",https://www.hoekee.com.sg/,电话: +65 6296 6827 ,enquiries@hoekee.com.sg,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:09
Cozyspace,,,"地址: 90 Lor 23 Geylang, #01-02新加坡 388393 ",http://www.cozyspace.sg/,电话: +65 8875 3665 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:09
Space Furniture Asia Hub,,,"地址: 77 Bencoolen St, 新加坡 189653 ",http://www.spacefurniture.com.sg/,电话: +65 6415 0000 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:10
Lights & Bathroom Solutions @Az,,,"地址: 77 Bencoolen St, 新加坡 189653 ",http://www.spacefurniture.com.sg/,电话: +65 6415 0000 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:10
Bathroom Gallery Changi Showroom by Wan Tai & Co Pte Ltd,,,"地址: 25 Changi South Ave 2, Level 1, 新加坡 486594 ",https://www.bathroomgallery.com.sg/,电话: +65 6546 5900 ,"sale@bathroomgallery.com.sg, sales@bathroomgallery.com.sg",Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:11
Renopedia Pte Ltd,,,"地址: 25 Changi South Ave 2, Level 1, 新加坡 486594 ",https://www.bathroomgallery.com.sg/,电话: +65 6546 5900 ,"sale@bathroomgallery.com.sg, sales@bathroomgallery.com.sg",Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:11
Wasser Bath Pte Ltd,,,"地址: 469 Balestier Rd, 新加坡 329841 ",https://www.wasserbath.com/,电话: +65 6258 8533 ,sales.wasserbath@gmail.com,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:11
Space Factor Pte Ltd,,,"地址: 122 Eunos Ave 7, #08-03 Richfield Industrial Centre, 新加坡 409575 ",https://www.spacefactor.com.sg/,电话: +65 6746 0082 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:12
Origin Home Fine Furniture,,,"地址: 203B Henderson Rd, #01-06, Singapore 159546 ",https://originhome.shop/,电话: +65 6909 6411 ,black_logo_transparent_background_Trademark_150x@2x.webp,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:12
Lights N Showers,,,"地址: 203B Henderson Rd, #01-06, Singapore 159546 ",https://originhome.shop/,电话: +65 6909 6411 ,black_logo_transparent_background_Trademark_150x@2x.webp,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:12
"Rubine Singapore - Leading Instant Water Heater, Kitchen Sink, Bath Fittings & Best Bathroom Furniture Accessories Supplier",,,"地址: 15 Kian Teck Cres, 新加坡 628884 ",http://www.rubine.com.sg/,电话: +65 6268 0066 ,"rubine@casa.com.sg, Service@casa.com.sg, Showroom@casa.com.sg",Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:12
Azora Jurong @ Tradehub 21,,,"地址: 18 Boon Lay Wy, #01-140, 新加坡 609966 ",http://azora.com.sg/,电话: +65 6686 4826 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:12
LSK Bath & Light Pte Ltd,,,"地址: 18 Boon Lay Wy, #01-140, 新加坡 609966 ",http://azora.com.sg/,电话: +65 8228 4786 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:13
Wihardja Furniture Singapore - Woodlands,,,"地址: 605 Geylang Rd, 新加坡 389544 ",,电话: +65 8228 4786 ,,Bathroom furniture design center,"Singapore, Singapore, Singapore",2026-05-11 17:13
