Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
HERA Bathroom Experience Center,,,,,,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:14
Homus Singapore @ T-Space (Bathroom Fixtures & Home Appliances Showroom),,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:15
Elite Sanitary Trading,,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:15
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:15
Home & Bathroom Building Products Pte Ltd,,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:15
Bathroom Warehouse Bukit Merah,,,"地址: 566 Balestier Rd, 新加坡 329883 ",http://www.homeandbathroom.com.sg/,电话: +65 6253 4655 ,sales@homeandbathroom.com.sg,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:16
Bathzone Pte Ltd,,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:16
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:16
Heritage Bathroom Gallery,,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:17
Budget Home,,,"地址: 718 Geylang Rd, 新加坡 389630 ",https://heritagebathroomgallery.com.sg/,电话: +65 6846 9130 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:17
King Eco Pte Ltd,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:17
W. Atelier Singapore - Main Showroom,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:17
Hansgrohe Singapore & The Water Studio Singapore,,,"地址: 201 Henderson Rd, #01-01, 新加坡 159545 ",https://www.watelier.com/?utm_source=GMB&utm_medium=organic,电话: +65 6270 8828 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:18
Tuscani Tapware,,,"地址: 69 Mohamed Sultan Rd, 新加坡 239015 ",https://www.hansgrohe.com.sg/,电话: +65 8907 1163 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:18
Spazio Home & Bath Pte Ltd,,,"地址: 50 Genting Ln, #03-03 实达工业大厦新加坡 349558 ",http://www.tuscanitapware.com/,电话: +65 8938 8912 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:18
Bathroom Warehouse Changi (HQ),,,"地址: 2 Yishun Industrial Street 1, #01-09 Northpoint Bizhub, 新加坡 768159 ",https://spaziohomebathware.com.sg/,电话: +65 6694 1631 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:19
Las Vela,,,"地址: 25 Changi South Ave 2, Level 2 OCH Building, 新加坡 486594 ",http://bathroomwarehouse.com.sg/,电话: +65 6542 0859 ,sales@bathroomwarehouse.com.sg,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:19
BATHCRAFT (Climate Vouchers Accepted) (Bathroom & Lighting & Kitchen Appliances Showroom),,,"地址: 36 Jln Kilang Barat, 新加坡 159366 ",https://lasvela.sg/,电话: +65 6019 0775 ,hello@lasvela.sg,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:20
Mobili Living @ Woodlands,,,"地址: 65 Ubi Rd 1, #01-89 Oxley Bizhub, 新加坡 408729 ",https://bathcraft.com.sg/,电话: +65 9896 8585 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:20
D'Posh Pte Ltd,,,"地址: 21 #01-04 Woodlands Cl, 新加坡 737854 ",http://www.mobili.sg/,电话: +65 6251 4662 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:20
Hansgrohe Singapore & The Water Studio Singapore,,,"地址: 69 Mohamed Sultan Rd, 新加坡 239015 ",https://www.hansgrohe.com.sg/,电话: +65 8907 1163 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:21
Everyhome.SG | Online Home and Bathroom Supply Store,,,"地址: 69 Mohamed Sultan Rd, 新加坡 239015 ",https://www.hansgrohe.com.sg/,电话: +65 8907 1163 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:21
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:21
高端浴室廊,,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:22
Hoe Kee Superstore Pte Ltd (Jalan Besar Showroom),,,"地址: 684 Geylang Rd, Singapore 389608 ",,电话: +65 9864 7122 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:22
Bathlabz Vertex,,,"地址: 1 Jalan Berseh, #01-09 to #01-13 New World Centre, 新加坡 209037 ",http://www.hoekee.com.sg/,电话: +65 6392 9909 ,enquiries@hoekee.com.sg,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:23
Tap & Faucet City Singapore,,,"地址: 1 Jalan Berseh, #01-09 to #01-13 New World Centre, 新加坡 209037 ",http://www.hoekee.com.sg/,电话: +65 6392 9909 ,enquiries@hoekee.com.sg,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:23
Pioneer Hardware Trading Pte. Ltd.,,,,https://tapfaucetcity.com/,电话: +65 3158 6186 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:23
Hupfarri Bathroom and Kitchen Gallery (Changi Showroom),,,"地址: 261A/C, Changi Rd, 新加坡 419748 ",https://www.hupfarri.com.sg/,电话: +65 6742 9506 ,enquiry_hupfarri@yahoo.com.sg,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:23
Home Factor,,,"地址: Blk2, Toa Payoh Industrial Park, #01-1395, 新加坡 319054 ",http://www.homefactor.com.sg/,电话: +65 6969 3838 ,38homefactor@gmail.com,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:24
Domaco,,,"地址: Blk2, Toa Payoh Industrial Park, #01-1395, 新加坡 319054 ",http://www.homefactor.com.sg/,电话: +65 6969 3838 ,38homefactor@gmail.com,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:24
Wasser Bath Pte Ltd,,,"地址: 565 MacPherson Rd, #02-00, 新加坡 368234 ",https://www.domaco.com.sg/,电话: +65 8181 6085 ,inquiry@domaco.com.sg,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:24
Mobili Living @ Woodlands,,,"地址: 21 #01-04 Woodlands Cl, 新加坡 737854 ",http://www.mobili.sg/,电话: +65 6251 4662 ,sales.Mobiligroup@gmail.com,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:25
Bathroom Accessories I Zenterra Shop,,,"地址: 21 #01-04 Woodlands Cl, 新加坡 737854 ",http://www.mobili.sg/,电话: +65 6251 4662 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:25
Bacera Bathroom and Kitchen Connoisseur,,,"地址: 714 Geylang Rd, 新加坡 389628 ",https://www.bacera.com.sg/,电话: +65 6842 1101 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:25
Bathworld Pte Ltd,,,"地址: 201 Henderson Rd, #03-14/15, 新加坡 159545 ",http://www.bathworld.net/,电话: +65 6352 2202 ,emran.bd.08@gmail.com,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:25
Bathroom Warehouse Ubi Vertex,,,"地址: 201 Henderson Rd, #03-14/15, 新加坡 159545 ",http://www.bathworld.net/,电话: +65 6352 2202 ,emran.bd.08@gmail.com,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:26
Mobili Living @ Jalan Berseh,,,"地址: 33 #01 51 Ubi Ave 3, #01-51 Vertex, 新加坡 408868 ",,电话: +65 6659 0796 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:26
Bathhauz Pte Ltd,,,"地址: 33 #01 51 Ubi Ave 3, #01-51 Vertex, 新加坡 408868 ",,电话: +65 6659 0796 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:26
Lucky Khoon Bathroom Studio (Tradehub 21),,,"地址: 2 Kallang Pudding Rd, #08-10 Mactech Building, 新加坡 349307 ",http://www.bathhauz.com/,电话: +65 8805 5222 ,bathhauz@gmail.com,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:27
Bathroom Warehouse Changi (HQ),,,"地址: 25 Changi South Ave 2, Level 2 OCH Building, 新加坡 486594 ",http://bathroomwarehouse.com.sg/,电话: +65 6542 0859 ,sales@bathroomwarehouse.com.sg,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:27
Stock and Form,,,"地址: 25 Changi South Ave 2, Level 2 OCH Building, 新加坡 486594 ",http://bathroomwarehouse.com.sg/,电话: +65 6542 0859 ,sales@bathroomwarehouse.com.sg,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:27
PH Bathroom Gallery,,,"地址: 315 Outram Rd, #07-02, 新加坡 169074 ",,电话: +65 8886 3093 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:28
"Rubine Singapore - Leading Instant Water Heater, Kitchen Sink, Bath Fittings & Best Bathroom Furniture Accessories Supplier",,,"地址: 648 Geylang Rd, 新加坡 389578 ",https://phbathroom.com/,电话: +65 6745 1535 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:28
Maxi Home,,,"地址: 648 Geylang Rd, 新加坡 389578 ",https://phbathroom.com/,电话: +65 6745 1535 ,,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:28
My Showroom Pte Ltd,,,"地址: 5 Ubi Link, #02-01, 新加坡 408548 ",http://www.maxihome.com.sg/,电话: +65 6518 9649 ,enquiry@maxihome.com.sg,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:28
Diyovation,,,"地址: 10 Kaki Bukit Rd 1, #01-02 Kaki bukit, 新加坡 416175 ",https://sitelift.site/diyovation/,电话: +65 9178 8796 ,diyovation@gmail.com,Bathroom furniture procurement,"Singapore, Singapore, Singapore",2026-05-11 17:28
