Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
HERA Bathroom Experience Center,,,,,,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:37
Home & Bathroom Building Products Pte Ltd,,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:37
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:37
Budget Home,,,"地址: 2 Joo Chiat Rd, #01-1149 Joo Chiat Complex, 新加坡 420002 ",https://www.carousell.sg/u/budgethome/,电话: +65 9732 1308 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:38
Eight Design (East Showroom) – Top Interior Design Services Singapore,,,"地址: 2 Joo Chiat Rd, #01-1149 Joo Chiat Complex, 新加坡 420002 ",https://www.carousell.sg/u/budgethome/,电话: +65 9732 1308 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:38
Spazio Home & Bath Pte Ltd,,,"地址: 140 Paya Lebar Rd, #01-04 AZ@Paya Lebar, 新加坡 409015 ",http://www.eightdesign.com.sg/,电话: +65 6266 8880 ,sales@eightdesign.com.sg,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:38
Homus Singapore @ T-Space (Bathroom Fixtures & Home Appliances Showroom),,,"地址: Tampines North Dr. 1, #01-18 T-Space Building, 新加坡 528559 ",https://www.homussingapore.com/,电话: +65 8089 2811 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:39
Imperial Collective - Best Toilet & Kitchen Renovation Singapore | Residential & Commercial Singapore,,,"地址: 80 Changi Rd, Centropod@changi 02-42, Singapore 419715 ",http://www.imperialcollective.co/,电话: +65 8772 6289 ,sales@imperialcollective.co,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:39
Everyhome.SG | Online Home and Bathroom Supply Store,,,"地址: 80 Changi Rd, Centropod@changi 02-42, Singapore 419715 ",http://www.imperialcollective.co/,电话: +65 8772 6289 ,sales@imperialcollective.co,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:39
W. Atelier Singapore - Main Showroom,,,"地址: 201 Henderson Rd, #01-01, 新加坡 159545 ",https://www.watelier.com/?utm_source=GMB&utm_medium=organic,电话: +65 6270 8828 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:40
Empire Works - One Stop Renovation,,,"地址: 201 Henderson Rd, #01-01, 新加坡 159545 ",https://www.watelier.com/?utm_source=GMB&utm_medium=organic,电话: +65 6270 8828 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:40
D'Posh Pte Ltd,,,"地址: 784 Upper Bukit Timah Rd, 新加坡 678127 ",https://www.empireworks.com.sg/,电话: +65 8988 2252 ,sales@empireworks.com.sg,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:40
CARPENTERS 匠 Interior Design (Oxley),,,"地址: 55 Serangoon North Ave 4, #01-04, S9@Serangoon 555859 ",http://www.dposh.com.sg/,电话: +65 8087 8493 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:41
Renopedia Pte Ltd,,,"地址: 62 Ubi Road 1 #01-01, Oxley Bizhub 2, 新加坡 408734 ",https://www.carpenters.com.sg/,电话: +65 8087 8493 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:41
Mobili Living @ Woodlands,,,"地址: 21 #01-04 Woodlands Cl, 新加坡 737854 ",http://www.mobili.sg/,电话: +65 6251 4662 ,sales.Mobiligroup@gmail.com,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:41
My Showroom Pte Ltd,,,"地址: 21 #01-04 Woodlands Cl, 新加坡 737854 ",http://www.mobili.sg/,电话: +65 6251 4662 ,sales.Mobiligroup@gmail.com,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:41
Bathroom Warehouse Bukit Merah,,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:42
Spacious Planners Pte. Ltd.,,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:42
Space Atelier Pte Ltd,,,"地址: 2 Jurong East Street 21, #03-31 IMM Building, 新加坡 609601 ",https://spacious.com.sg/,电话: +65 6565 7227 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:42
HausBedroom.sg - Custom Wardrobe & Cabinets Specialist,,,"地址: 9 Kaki Bukit Rd 1, #02-10 Eunos Technolink, 新加坡 415938 ",http://hausbedroom.sg/,电话: +65 6842 1514 ,"hausbedroom@gmail.com, contactus@hausbedroom.sg",Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:42
家园设计集团与建造,,,"地址: 3013 Bedok Industrial Park E, 新加坡 489979 ",https://www.homelanddesign.com.sg/,电话: +65 8168 6049 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:43
Chapter 13 Interior Design,,,"地址: Yishun Industrial Street 1, #01-20 Northview Bizhub新加坡 768090 ",https://www.chapter13.com.sg/,电话: +65 6258 5013 ,enquiries@chapter13.com.sg,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:43
Cosmos Decor - Interior Design & Renovation Singapore,,,"地址: 5 Little Rd, #06-01 Cemtex Industrial Building, 新加坡 536983 ",https://www.cosmosdecor.com/,电话: +65 9880 6353 ,"9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, 460ff4620fa44cba8df530afde949785@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com",Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:43
Cosy Concept Interior,,,"地址: 5 Little Rd, #06-01 Cemtex Industrial Building, 新加坡 536983 ",https://www.cosmosdecor.com/,电话: +65 9880 6353 ,"9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, 460ff4620fa44cba8df530afde949785@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com",Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:43
Renopedia Pte Ltd,,,"地址: 101 Upper Cross Street, People's Park Centre #08-15, 新加坡 058357 ",https://renopedia.sg/,电话: +65 6536 4676 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:44
Parkwood Collection,,,"地址: 48 Lor 1 Realty Pk, Singapore 533810 ",,电话: +65 8800 2277 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:44
T-Space,,,"地址: 48 Lor 1 Realty Pk, Singapore 533810 ",,电话: +65 8800 2277 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:44
Cove,,,"地址: 195 Pearl's Hill Ter, 新加坡 168976 ",https://cove.sg/,电话: +65 3138 4860 ,"sales@cove.sg, sts-8May-en-400x400@3x.mp, workpass-11May-en-400x400@3x.mp",Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:44
Soon Teck WoodWorks,,,"地址: 38 Woodlands Industrial Park E1, #06-19新加坡 409575 ",https://carpentrydirect.sg/,电话: +65 6428 6248 ,info@carpentrydirect.sg,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:44
Crizto Singapore Pte Ltd,,,"地址: 10 Tampines North Drive 4, #04-08 JTC Space @ Tampines North, 新加坡 528553 ",http://www.crizto.com/,电话: +65 8382 5011 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:45
Clest Design,,,"地址: 10 Tampines North Drive 4, #04-08 JTC Space @ Tampines North, 新加坡 528553 ",http://www.crizto.com/,电话: +65 8382 5011 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:45
AX Image Group (Gambas),,,"地址: 6 Gambas Way, #01-13 Ascent @ Gambas, 新加坡 756939 ",https://www.aximage.com.sg/,电话: +65 8068 9199 ,enquiry@aximage.com.sg,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:46
i.Poise Design,,,"地址: 6 Gambas Way, #01-13 Ascent @ Gambas, 新加坡 756939 ",https://www.aximage.com.sg/,电话: +65 8068 9199 ,enquiry@aximage.com.sg,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:46
Ft2 Interior Design Pte Ltd,,,"地址: 167 Geylang Rd, #03-05/06, 新加坡 389242 ",https://www.ipoisedesign.com/,电话: +65 9738 6690 ,info@ipoisedesign.com,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:46
BRIGHT LIVING,,,"地址: 33 Ubi Ave 3, #02 20, 新加坡 408868 ",,电话: +65 6292 2616 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:46
PRDT 創 Interior,,,"地址: 33 Ubi Ave 3, #02 20, 新加坡 408868 ",,电话: +65 6292 2616 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:46
Flo Design Pte. Ltd.,,,"地址: 6 Sin Ming Rd Sing Ming Plaza Tower 2 #01-12/13, 新加坡 575585 ",http://www.flodesign.com.sg/,电话: +65 6469 3188 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:47
Yangs Inspiration Design,,,"地址: 6 Sin Ming Rd Sing Ming Plaza Tower 2 #01-12/13, 新加坡 575585 ",http://www.flodesign.com.sg/,电话: +65 6469 3188 ,admin@flodesign.com.sg,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:47
M2 Decor Pte Ltd,,,"地址: Blk 38 Woodlands Industrial Park E1, #05-12新加坡 757700 ",http://www.m2decor.com/,电话: +65 6269 0828 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:48
D&R Design Reno,,,"地址: 39 Woodlands Cl, #04-64, 新加坡 737856 ",https://designreno.com.sg/,电话: +65 6320 3363 ,dnrdesignreno@gmail.com,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:48
建屋发展局,,,"地址: 480 Lor 6 Toa Payoh, 新加坡 310480 ",https://www.hdb.gov.sg/,电话: +65 6225 5432 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:48
One Draycott,,,"地址: 1 Draycott Pk, Singapore 259385 ",https://www.sdb.com.my/products/one-draycott,电话: +65 6238 2288 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:48
Ft2 Interior Design Pte Ltd,,,"地址: 10 Ubi Cres, #01-63A, Lobby D, Ubi Techpark, 新加坡 408564 ",http://ft2.com.sg/,电话: +65 8044 9593 ,"sales@ft2.com.sg, contact@ft2.com.sg",Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:49
Chapter 13 Interior Design,,,"地址: Yishun Industrial Street 1, #01-20 Northview Bizhub新加坡 768090 ",https://www.chapter13.com.sg/,电话: +65 6258 5013 ,enquiries@chapter13.com.sg,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:49
TANGS at Tang Plaza,,,"地址: Yishun Industrial Street 1, #01-20 Northview Bizhub新加坡 768090 ",https://www.chapter13.com.sg/,电话: +65 6258 5013 ,enquiries@chapter13.com.sg,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:49
Massing Design,,,"地址: 28 Sin Ming Ln, #02-141/142 Midview City, 新加坡 573972 ",https://www.massingdesign.com/,电话: +65 6655 7794 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:49
Orchard Scotts,,,"地址: 7 Anthony Rd, Singapore 229954 ",https://www.fareasthospitality.com/en/serviced-residences/orchard-scotts-residences.aspx?utm_source=googleplaces_osr&utm_medium=organic,电话: +65 6518 3788 ,"reservations@fareast.com, sales.sr@fareast.com, reseasy@fareast.com",Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:50
Design NEU,,,"地址: 2A Lim Tua Tow Rd, 新加坡 547710 ",https://www.designneu.com/,电话: +65 6244 9030 ,"18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, admin@designneu.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com",Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:50
United Square Shopping Mall,,,"地址: 101 Thomson Rd, Singapore 307591 ",http://www.unitedsquare.com.sg/,电话: +65 6251 5885 ,specialevents.ppsin@panpacific.com,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:50
Herschel Tangs Plaza,,,"地址: 101 Thomson Rd, Singapore 307591 ",http://www.unitedsquare.com.sg/,电话: +65 6251 5885 ,specialevents.ppsin@panpacific.com,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:50
PropertyGiant Singapore,,,"地址: 320 Orchard Rd, 新加坡 238865 ",,电话: +65 6737 5500 ,,Bathroom furniture property developer,"Singapore, Singapore, Singapore",2026-05-11 17:51
