Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 16:55
Homus Singapore @ T-Space (Bathroom Fixtures & Home Appliances Showroom),,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 16:55
W. Atelier Singapore - Main Showroom,,,"地址: Tampines North Dr. 1, #01-18 T-Space Building, 新加坡 528559 ",https://www.homussingapore.com/,电话: +65 8089 2811 ,,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 16:56
Heritage Bathroom Gallery,,,"地址: 201 Henderson Rd, #01-01, 新加坡 159545 ",https://www.watelier.com/?utm_source=GMB&utm_medium=organic,电话: +65 6270 8828 ,,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 16:56
HERA Bathroom Experience Center,,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 16:56
Elite Sanitary Trading,,,"地址: 269 Changi Rd, 新加坡 419752 ",https://elite269.sg/,电话: +65 6842 3898 ,,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 16:57
Hoe Kee Superstore Pte Ltd (Jalan Besar Showroom),,,"地址: 269 Changi Rd, 新加坡 419752 ",https://elite269.sg/,电话: +65 6842 3898 ,,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 16:57
Home & Bathroom Building Products Pte Ltd,,,"地址: 1 Jalan Berseh, #01-09 to #01-13 New World Centre, 新加坡 209037 ",http://www.hoekee.com.sg/,电话: +65 6392 9909 ,enquiries@hoekee.com.sg,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 16:57
Spazio Home & Bath Pte Ltd,,,"地址: 2 Yishun Industrial Street 1, #01-09 Northpoint Bizhub, 新加坡 768159 ",https://spaziohomebathware.com.sg/,电话: +65 6694 1631 ,noreply@spaziohomebathware.com.sg,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 16:57
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: 2 Yishun Industrial Street 1, #01-09 Northpoint Bizhub, 新加坡 768159 ",https://spaziohomebathware.com.sg/,电话: +65 6694 1631 ,noreply@spaziohomebathware.com.sg,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 16:58
Hansgrohe Singapore & The Water Studio Singapore,,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 16:58
Bathroom Warehouse Bukit Merah,,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 16:59
Las Vela,,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 16:59
Bathzone Pte Ltd,,,"地址: 36 Jln Kilang Barat, 新加坡 159366 ",https://lasvela.sg/,电话: +65 6019 0775 ,hello@lasvela.sg,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 16:59
Everyhome.SG | Online Home and Bathroom Supply Store,,,"地址: 1090 Lower Delta Rd, #04-06, 新加坡 169201 ",https://everyhome.sg/,电话: +65 6232 6612 ,,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 16:59
"Rubine Singapore - Leading Instant Water Heater, Kitchen Sink, Bath Fittings & Best Bathroom Furniture Accessories Supplier",,,"地址: 15 Kian Teck Cres, 新加坡 628884 ",http://www.rubine.com.sg/,电话: +65 6268 0066 ,"rubine@casa.com.sg, Service@casa.com.sg, Showroom@casa.com.sg",Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 16:59
Mobili Living @ Woodlands,,,"地址: 15 Kian Teck Cres, 新加坡 628884 ",http://www.rubine.com.sg/,电话: +65 6268 0066 ,"rubine@casa.com.sg, Service@casa.com.sg, Showroom@casa.com.sg",Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 17:00
D'Posh Pte Ltd,,,"地址: 21 #01-04 Woodlands Cl, 新加坡 737854 ",http://www.mobili.sg/,电话: +65 6251 4662 ,,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 17:00
King Eco Pte Ltd,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 17:00
My Showroom Pte Ltd,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 17:01
高端浴室廊,,,"地址: 684 Geylang Rd, Singapore 389608 ",,电话: +65 9864 7122 ,,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 17:01
Budget Home,,,"地址: 684 Geylang Rd, Singapore 389608 ",,电话: +65 9864 7122 ,,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 17:01
Lights & Bathroom Solutions @ Tradehub21,,,"地址: 684 Geylang Rd, Singapore 389608 ",,电话: +65 9864 7122 ,,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 17:01
Bathroom Warehouse Bukit Merah,,,"地址: 8 Boon Lay Wy, #01-19, 新加坡 609964 ",https://www.facebook.com/lightsandbathroom,电话: +65 6259 1536 ,,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 17:01
Tuscani Tapware,,,"地址: 8 Boon Lay Wy, #01-19, 新加坡 609964 ",https://www.facebook.com/lightsandbathroom,电话: +65 6259 1536 ,,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 17:01
Yeoka Lights and Bath,,,"地址: 387 Changi Rd, Singapore 419836 ",https://www.yeokalightsandbath.com.sg/,电话: +65 8868 8872 ,,Bathroom furniture showroom,"Singapore, Singapore, Singapore",2026-05-11 17:01
