Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
Elite Sanitary Trading,,,,,,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:17
HERA Bathroom Experience Center,,,"地址: 269 Changi Rd, 新加坡 419752 ",https://elite269.sg/,电话: +65 6842 3898 ,elite269e@gmail.com,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:17
BATHCRAFT (Climate Vouchers Accepted) (Bathroom & Lighting & Kitchen Appliances Showroom),,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:17
Bathzone Pte Ltd,,,"地址: 65 Ubi Rd 1, #01-89 Oxley Bizhub, 新加坡 408729 ",https://bathcraft.com.sg/,电话: +65 9896 8585 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:18
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:18
Home & Bathroom Building Products Pte Ltd,,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:18
Spazio Home & Bath Pte Ltd,,,"地址: 566 Balestier Rd, 新加坡 329883 ",http://www.homeandbathroom.com.sg/,电话: +65 6253 4655 ,sales@homeandbathroom.com.sg,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:19
Tuscani Tapware,,,"地址: 2 Yishun Industrial Street 1, #01-09 Northpoint Bizhub, 新加坡 768159 ",https://spaziohomebathware.com.sg/,电话: +65 6694 1631 ,noreply@spaziohomebathware.com.sg,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:19
Bathroom Warehouse Bukit Merah,,,"地址: 50 Genting Ln, #03-03 实达工业大厦新加坡 349558 ",http://www.tuscanitapware.com/,电话: +65 8938 8912 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:19
Homus Singapore @ T-Space (Bathroom Fixtures & Home Appliances Showroom),,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:20
Heritage Bathroom Gallery,,,"地址: Tampines North Dr. 1, #01-18 T-Space Building, 新加坡 528559 ",https://www.homussingapore.com/,电话: +65 8089 2811 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:20
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: Tampines North Dr. 1, #01-18 T-Space Building, 新加坡 528559 ",https://www.homussingapore.com/,电话: +65 8089 2811 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:21
Bathroom Warehouse Changi (HQ),,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:21
Hupfarri Bathroom and Kitchen Gallery (Changi Showroom),,,"地址: 25 Changi South Ave 2, Level 2 OCH Building, 新加坡 486594 ",http://bathroomwarehouse.com.sg/,电话: +65 6542 0859 ,sales@bathroomwarehouse.com.sg,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:22
King Eco Pte Ltd,,,"地址: 261A/C, Changi Rd, 新加坡 419748 ",https://www.hupfarri.com.sg/,电话: +65 6742 9506 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:22
Bathroom Warehouse Ubi Vertex,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:23
Everyhome.SG | Online Home and Bathroom Supply Store,,,"地址: 33 #01 51 Ubi Ave 3, #01-51 Vertex, 新加坡 408868 ",,电话: +65 6659 0796 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:23
360 Bathware Pte Ltd,,,"地址: 1090 Lower Delta Rd, #04-06, 新加坡 169201 ",https://everyhome.sg/,电话: +65 6232 6612 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:23
Bacera Bathroom and Kitchen Connoisseur,,,"地址: 640 Rowell Rd, #01-76 Rowell Court, 新加坡 200640 ",https://www.360bathware.com/,电话: +65 6842 1101 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:23
Bathroom Accessories I Zenterra Shop,,,"地址: 714 Geylang Rd, 新加坡 389628 ",https://www.bacera.com.sg/,电话: +65 6842 1101 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:24
BOSHSINI,,,"地址: 61 Ubi Rd 1, #01-26/27 Zenttera Lightings, Oxley Bizhub 1, 新加坡 408727 ",https://www.facebook.com/share/1KKCxH32cK/?mibextid=wwXIfr,电话: +65 8725 6676 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:24
Hoe Kee Superstore Pte Ltd (Jalan Besar Showroom),,,"地址: 666 Geylang Rd, 新加坡 389594 ",https://www.boshsini.com.sg/,电话: +65 9855 0189 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:24
Bathroom Warehouse Ubi Vertex,,,"地址: 33 #01 51 Ubi Ave 3, #01-51 Vertex, 新加坡 408868 ",,电话: +65 6659 0796 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:24
Pioneer Hardware Trading Pte. Ltd.,,,"地址: 33 #01 51 Ubi Ave 3, #01-51 Vertex, 新加坡 408868 ",,电话: +65 6659 0796 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:25
Bacera Bathroom and Kitchen Connoisseur,,,"地址: 33 #01 51 Ubi Ave 3, #01-51 Vertex, 新加坡 408868 ",,电话: +65 6659 0796 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:25
Bathroom Accessories I Zenterra Shop,,,"地址: 61 Ubi Rd 1, #01-26/27 Zenttera Lightings, Oxley Bizhub 1, 新加坡 408727 ",https://www.facebook.com/share/1KKCxH32cK/?mibextid=wwXIfr,电话: +65 8725 6676 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:25
D'Posh Pte Ltd,,,"地址: 61 Ubi Rd 1, #01-26/27 Zenttera Lightings, Oxley Bizhub 1, 新加坡 408727 ",https://www.facebook.com/share/1KKCxH32cK/?mibextid=wwXIfr,电话: +65 8725 6676 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:25
Tapz & Coffee,,,"地址: 61 Ubi Rd 1, #01-26/27 Zenttera Lightings, Oxley Bizhub 1, 新加坡 408727 ",https://www.facebook.com/share/1KKCxH32cK/?mibextid=wwXIfr,电话: +65 8725 6676 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:25
My Showroom Pte Ltd,,,"地址: 157 Jln Besar, 新加坡 208874 ",https://tapzandcoffee.com.sg/,电话: +65 9698 2623 ,"tapzandcoffee@gmail.com, example@gmail.com",Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:25
Wasser Bath Pte Ltd,,,"地址: 157 Jln Besar, 新加坡 208874 ",https://tapzandcoffee.com.sg/,电话: +65 9698 2623 ,"tapzandcoffee@gmail.com, example@gmail.com",Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:26
Budget Home,,,"地址: 469 Balestier Rd, 新加坡 329841 ",https://www.wasserbath.com/,电话: +65 6258 8533 ,sales.wasserbath@gmail.com,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:26
Hupfarri Bathroom and Kitchen Gallery Pte Ltd (Ubi Showroom),,,"地址: 2 Joo Chiat Rd, #01-1149 Joo Chiat Complex, 新加坡 420002 ",https://www.carousell.sg/u/budgethome/,电话: +65 6742 8433 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:26
高端浴室廊,,,"地址: 17 Ubi Cres, 新加坡 408576 ",https://www.hupfarri.com.sg/,电话: +65 6742 8433 ,enquiry_hupfarri@yahoo.com.sg,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:27
Premium Outlet by Econflo Systems Pte Ltd,,,"地址: 684 Geylang Rd, Singapore 389608 ",,电话: +65 9864 7122 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:27
Lucky Khoon Bathroom Studio (Tradehub 21),,,"地址: 2 Boon Leat Terrace, #01-03 Harbourside Building 2, Singapore 119844 ",https://toilets.com.sg/,电话: +65 6266 5562 ,hello@toilets.com.sg,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:27
Bathworld Pte Ltd,,,"地址: 2 Boon Leat Terrace, #01-03 Harbourside Building 2, Singapore 119844 ",https://toilets.com.sg/,电话: +65 6266 5562 ,hello@toilets.com.sg,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:27
OXO Ceramic- Hosin Trading Pte Ltd (Jalan Besar Branch),,,"地址: 201 Henderson Rd, #03-14/15, 新加坡 159545 ",http://www.bathworld.net/,电话: +65 6352 2202 ,emran.bd.08@gmail.com,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:28
Hosin Trading Pte Ltd,,,"地址: 138/140 Jln Besar, 新加坡 208858 ",http://hosin.com.sg/,电话: +65 8363 0244 ,main@hosintrading.sg,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:28
Crizto Singapore Pte Ltd,,,"地址: 7 Toa Payoh Industrial Park, #01-1265, 新加坡 319059 ",http://www.biglobang.com/,电话: +65 9637 9870 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:29
360 Bathware Pte Ltd,,,"地址: 10 Tampines North Drive 4, #04-08 JTC Space @ Tampines North, 新加坡 528553 ",https://www.360bathware.com/,电话: +65 6291 2887 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:29
9 Star Services Pte Ltd - Bathroom Specialist,,,"地址: 640 Rowell Rd, #01-76 Rowell Court, 新加坡 200640 ",https://www.360bathware.com/,电话: +65 6291 2887 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:29
Viva Nueva,,,"地址: Mega@Woodlands, 39 Woodlands Cl, #01-55 Lobby, D 737856 ",http://9starservices.sg/,,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:30
Bathroom Gallery Changi Showroom by Wan Tai & Co Pte Ltd,,,"地址: 498 Sims Ave, 新加坡 387564 ",http://www.vivanueva.com/,电话: +65 6744 6938 ,,Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:30
Biene Woodlands (NEW),,,"地址: 25 Changi South Ave 2, Level 1, 新加坡 486594 ",https://www.bathroomgallery.com.sg/,电话: +65 6546 5900 ,"sale@bathroomgallery.com.sg, sales@bathroomgallery.com.sg",Bathroom vanity commercial supply,"Singapore, Singapore, Singapore",2026-05-11 15:31
