Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
Elite Sanitary Trading,,,"地址: 269 Changi Rd, 新加坡 419752 ",https://elite269.sg/,电话: +65 6842 3898 ,elite269e@gmail.com,Bathroom vanity contractor,"Singapore, Singapore, Singapore",2026-05-11 14:46
HERA Bathroom Experience Center,,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Bathroom vanity contractor,"Singapore, Singapore, Singapore",2026-05-11 14:46
Bathzone Pte Ltd,,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Bathroom vanity contractor,"Singapore, Singapore, Singapore",2026-05-11 14:46
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Bathroom vanity contractor,"Singapore, Singapore, Singapore",2026-05-11 14:47
Heritage Bathroom Gallery,,,"地址: 718 Geylang Rd, 新加坡 389630 ",https://heritagebathroomgallery.com.sg/,电话: +65 6846 9130 ,,Bathroom vanity contractor,"Singapore, Singapore, Singapore",2026-05-11 14:47
Home & Bathroom Building Products Pte Ltd,,,"地址: 566 Balestier Rd, 新加坡 329883 ",http://www.homeandbathroom.com.sg/,电话: +65 6253 4655 ,,Bathroom vanity contractor,"Singapore, Singapore, Singapore",2026-05-11 14:47
BATHCRAFT (Climate Vouchers Accepted) (Bathroom & Lighting & Kitchen Appliances Showroom),,,"地址: 65 Ubi Rd 1, #01-89 Oxley Bizhub, 新加坡 408729 ",https://bathcraft.com.sg/,电话: +65 9896 8585 ,,Bathroom vanity contractor,"Singapore, Singapore, Singapore",2026-05-11 14:47
Ace Craft Renovations Pte Ltd,,,"地址: 99 Whampoa Dr, #01-164, 新加坡 320099 ",https://acecraftrenovations.carrd.co/,电话: +65 8136 4714 ,,Bathroom vanity contractor,"Singapore, Singapore, Singapore",2026-05-11 14:48
Lights & Bathroom Solutions @ Tradehub21,,,"地址: 8 Boon Lay Wy, #01-19, 新加坡 609964 ",https://www.facebook.com/lightsandbathroom,电话: +65 6259 1536 ,,Bathroom vanity contractor,"Singapore, Singapore, Singapore",2026-05-11 14:48
King Eco Pte Ltd,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Bathroom vanity contractor,"Singapore, Singapore, Singapore",2026-05-11 14:48
