Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
HERA Bathroom Experience Center,,,,,,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 14:56
Elite Sanitary Trading,,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 14:56
Bathzone Pte Ltd,,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 14:56
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 14:56
Home & Bathroom Building Products Pte Ltd,,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 14:57
Bathroom Warehouse Bukit Merah,,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 14:57
Heritage Bathroom Gallery,,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 14:57
BATHCRAFT (Climate Vouchers Accepted) (Bathroom & Lighting & Kitchen Appliances Showroom),,,"地址: 65 Ubi Rd 1, #01-89 Oxley Bizhub, 新加坡 408729 ",https://bathcraft.com.sg/,电话: +65 9896 8585 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 14:57
Homus Singapore @ T-Space (Bathroom Fixtures & Home Appliances Showroom),,,"地址: Tampines North Dr. 1, #01-18 T-Space Building, 新加坡 528559 ",https://www.homussingapore.com/,电话: +65 8089 2811 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 14:58
Bathroom Warehouse Ubi Vertex,,,"地址: 33 #01 51 Ubi Ave 3, #01-51 Vertex, 新加坡 408868 ",,电话: +65 6659 0796 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 14:58
Bathroom Warehouse Changi (HQ),,,"地址: 25 Changi South Ave 2, Level 2 OCH Building, 新加坡 486594 ",http://bathroomwarehouse.com.sg/,电话: +65 6542 0859 ,sales@bathroomwarehouse.com.sg,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 14:58
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 14:59
Tuscani Tapware,,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 14:59
Spazio Home & Bath Pte Ltd,,,"地址: 2 Yishun Industrial Street 1, #01-09 Northpoint Bizhub, 新加坡 768159 ",https://spaziohomebathware.com.sg/,电话: +65 6694 1631 ,noreply@spaziohomebathware.com.sg,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:00
King Eco Pte Ltd,,,"地址: 2 Yishun Industrial Street 1, #01-09 Northpoint Bizhub, 新加坡 768159 ",https://spaziohomebathware.com.sg/,电话: +65 6694 1631 ,noreply@spaziohomebathware.com.sg,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:00
Budget Home,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:01
Hupfarri Bathroom and Kitchen Gallery (Changi Showroom),,,"地址: 2 Joo Chiat Rd, #01-1149 Joo Chiat Complex, 新加坡 420002 ",https://www.carousell.sg/u/budgethome/,电话: +65 9732 1308 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:01
Everyhome.SG | Online Home and Bathroom Supply Store,,,"地址: 261A/C, Changi Rd, 新加坡 419748 ",https://www.hupfarri.com.sg/,电话: +65 6742 9506 ,enquiry_hupfarri@yahoo.com.sg,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:01
BOSHSINI,,,"地址: 1090 Lower Delta Rd, #04-06, 新加坡 169201 ",https://everyhome.sg/,电话: +65 6232 6612 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:02
Bathroom Accessories I Zenterra Shop,,,"地址: 666 Geylang Rd, 新加坡 389594 ",https://www.boshsini.com.sg/,电话: +65 9855 0189 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:02
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: 61 Ubi Rd 1, #01-26/27 Zenttera Lightings, Oxley Bizhub 1, 新加坡 408727 ",https://www.facebook.com/share/1KKCxH32cK/?mibextid=wwXIfr,电话: +65 8725 6676 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:02
Bathroom Warehouse Changi (HQ),,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:03
Hupfarri Bathroom and Kitchen Gallery (Changi Showroom),,,"地址: 25 Changi South Ave 2, Level 2 OCH Building, 新加坡 486594 ",http://bathroomwarehouse.com.sg/,电话: +65 6542 0859 ,sales@bathroomwarehouse.com.sg,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:03
W. Atelier Singapore - Main Showroom,,,"地址: 261A/C, Changi Rd, 新加坡 419748 ",https://www.hupfarri.com.sg/,电话: +65 6742 9506 ,enquiry_hupfarri@yahoo.com.sg,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:04
Hansgrohe Singapore & The Water Studio Singapore,,,"地址: 201 Henderson Rd, #01-01, 新加坡 159545 ",https://www.watelier.com/?utm_source=GMB&utm_medium=organic,电话: +65 6270 8828 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:04
Tap & Faucet City Singapore,,,"地址: 69 Mohamed Sultan Rd, 新加坡 239015 ",https://www.hansgrohe.com.sg/,电话: +65 8907 1163 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:04
Wasser Bath Pte Ltd,,,,https://tapfaucetcity.com/,电话: +65 3158 6186 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:05
Pioneer Hardware Trading Pte. Ltd.,,,"地址: 469 Balestier Rd, 新加坡 329841 ",https://www.wasserbath.com/,电话: +65 6258 8533 ,sales.wasserbath@gmail.com,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:05
Bathroom Warehouse Ubi Vertex,,,"地址: 8 Pandan Crescent, #04-02 (Via Cargo, Lobby 1 or Passenger Lobby 6, 新加坡 128464 ",https://www.zaffiro.com.sg/,电话: +65 6256 2831 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:05
高端浴室廊,,,"地址: 33 #01 51 Ubi Ave 3, #01-51 Vertex, 新加坡 408868 ",,电话: +65 6659 0796 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:06
Domaco,,,"地址: 684 Geylang Rd, Singapore 389608 ",,电话: +65 9864 7122 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:06
Sim Siang Choon Hardware(S) Pte Ltd,,,"地址: 565 MacPherson Rd, #02-00, 新加坡 368234 ",https://www.domaco.com.sg/,电话: +65 8181 6085 ,inquiry@domaco.com.sg,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:06
Lucky Khoon Bathroom Studio (Tradehub 21),,,"地址: 42 Changi South Street 1, 新加坡 486763 ",https://simsiangchoon.com/,电话: +65 6266 6632 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:07
Las Vela,,,"地址: 24 Boon Lay Wy, #01-72/73, 新加坡 609969 ",http://www.luckykhoon.com.sg/,电话: +65 6795 5835 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:07
Bathworld Pte Ltd,,,"地址: 36 Jln Kilang Barat, 新加坡 159366 ",https://lasvela.sg/,电话: +65 6019 0775 ,hello@lasvela.sg,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:08
Biene Woodlands (NEW),,,"地址: 201 Henderson Rd, #03-14/15, 新加坡 159545 ",http://www.bathworld.net/,电话: +65 6352 2202 ,emran.bd.08@gmail.com,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:08
Hosin Trading Pte Ltd (OXO Ceramic)- Balestier Branch,,,"地址: 11 Woodlands Cl, #01-16 WOODLANDS 11, 新加坡 737853 ",http://www.biene.sg/,电话: +65 8870 3822 ,"sales@biene.sg, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com",Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:09
Bacera Bathroom and Kitchen Connoisseur,,,"地址: 562A Balestier Rd, 新加坡 329878 ",,电话: +65 9105 5826 ,,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:09
Bathhauz Pte Ltd,,,"地址: 2 Kallang Pudding Rd, #08-10 Mactech Building, 新加坡 349307 ",http://www.bathhauz.com/,电话: +65 8805 5222 ,bathhauz@gmail.com,Bathroom vanity procurement,"Singapore, Singapore, Singapore",2026-05-11 15:10
