Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
Elite Sanitary Trading,,,,,,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:25
Bathzone Pte Ltd,,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:25
HERA Bathroom Experience Center,,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:26
Spazio Home & Bath Pte Ltd,,,"地址: 2 Yishun Industrial Street 1, #01-09 Northpoint Bizhub, 新加坡 768159 ",https://spaziohomebathware.com.sg/,电话: +65 6694 1631 ,noreply@spaziohomebathware.com.sg,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:26
Bathroom Warehouse Bukit Merah,,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:26
Home & Bathroom Building Products Pte Ltd,,,"地址: 566 Balestier Rd, 新加坡 329883 ",http://www.homeandbathroom.com.sg/,电话: +65 6253 4655 ,sales@homeandbathroom.com.sg,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:26
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:27
BOSHSINI,,,"地址: 666 Geylang Rd, 新加坡 389594 ",https://www.boshsini.com.sg/,电话: +65 9855 0189 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:27
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:28
Tuscani Tapware,,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:28
BATHCRAFT (Climate Vouchers Accepted) (Bathroom & Lighting & Kitchen Appliances Showroom),,,"地址: 65 Ubi Rd 1, #01-89 Oxley Bizhub, 新加坡 408729 ",https://bathcraft.com.sg/,电话: +65 9896 8585 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:29
Heritage Bathroom Gallery,,,"地址: 718 Geylang Rd, 新加坡 389630 ",https://heritagebathroomgallery.com.sg/,电话: +65 6846 9130 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:29
Bacera Bathroom and Kitchen Connoisseur,,,"地址: 714 Geylang Rd, 新加坡 389628 ",https://www.bacera.com.sg/,电话: +65 6842 1101 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:29
Pioneer Hardware Trading Pte. Ltd.,,,"地址: 8 Pandan Crescent, #04-02 (Via Cargo, Lobby 1 or Passenger Lobby 6, 新加坡 128464 ",https://www.zaffiro.com.sg/,电话: +65 6256 2831 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:29
Bathroom Warehouse Ubi Vertex,,,"地址: 33 #01 51 Ubi Ave 3, #01-51 Vertex, 新加坡 408868 ",,电话: +65 6659 0796 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:30
Sim Siang Choon Hardware(S) Pte Ltd,,,"地址: 42 Changi South Street 1, 新加坡 486763 ",https://simsiangchoon.com/,电话: +65 6266 6632 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:30
King Eco Pte Ltd,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:30
Bathroom Accessories I Zenterra Shop,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:30
Wasser Bath Pte Ltd,,,"地址: 469 Balestier Rd, 新加坡 329841 ",https://www.wasserbath.com/,电话: +65 6258 8533 ,sales.wasserbath@gmail.com,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:30
Tapz & Coffee,,,"地址: 469 Balestier Rd, 新加坡 329841 ",https://www.wasserbath.com/,电话: +65 6258 8533 ,sales.wasserbath@gmail.com,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:31
Everyhome.SG | Online Home and Bathroom Supply Store,,,"地址: 1090 Lower Delta Rd, #04-06, 新加坡 169201 ",https://everyhome.sg/,电话: +65 6232 6612 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:31
OXO Ceramic- Hosin Trading Pte Ltd (Jalan Besar Branch),,,"地址: 138/140 Jln Besar, 新加坡 208858 ",http://hosin.com.sg/,电话: +65 8363 0244 ,main@hosintrading.sg,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:31
Hoe Kee Superstore Pte Ltd (Jalan Besar Showroom),,,"地址: 138/140 Jln Besar, 新加坡 208858 ",http://hosin.com.sg/,电话: +65 8363 0244 ,main@hosintrading.sg,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:32
Bathroom Warehouse Ubi Vertex,,,"地址: 33 #01 51 Ubi Ave 3, #01-51 Vertex, 新加坡 408868 ",,电话: +65 6659 0796 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:32
Premium Outlet by Econflo Systems Pte Ltd,,,"地址: 33 #01 51 Ubi Ave 3, #01-51 Vertex, 新加坡 408868 ",https://toilets.com.sg/,电话: +65 6266 5562 ,hello@toilets.com.sg,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:32
360 Bathware Pte Ltd,,,"地址: 640 Rowell Rd, #01-76 Rowell Court, 新加坡 200640 ",https://www.360bathware.com/,电话: +65 6291 2887 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:32
Bathroom Accessories I Zenterra Shop,,,"地址: 61 Ubi Rd 1, #01-26/27 Zenttera Lightings, Oxley Bizhub 1, 新加坡 408727 ",https://www.facebook.com/share/1KKCxH32cK/?mibextid=wwXIfr,电话: +65 8725 6676 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:33
Crizto Singapore Pte Ltd,,,"地址: 10 Tampines North Drive 4, #04-08 JTC Space @ Tampines North, 新加坡 528553 ",http://www.crizto.com/,电话: +65 8382 5011 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:33
Bathroom Warehouse Changi (HQ),,,"地址: 25 Changi South Ave 2, Level 2 OCH Building, 新加坡 486594 ",http://bathroomwarehouse.com.sg/,电话: +65 6542 0859 ,sales@bathroomwarehouse.com.sg,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:33
Lucky Khoon Bathroom Studio (Tradehub 21),,,"地址: 24 Boon Lay Wy, #01-72/73, 新加坡 609969 ",http://www.luckykhoon.com.sg/,电话: +65 6795 5835 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:34
Bathworld Pte Ltd,,,"地址: 24 Boon Lay Wy, #01-72/73, 新加坡 609969 ",http://www.luckykhoon.com.sg/,电话: +65 6795 5835 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:34
Biene Woodlands (NEW),,,"地址: 11 Woodlands Cl, #01-16 WOODLANDS 11, 新加坡 737853 ",http://www.biene.sg/,电话: +65 8870 3822 ,"sales@biene.sg, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com",Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:35
BSG Trading Pte Ltd,,,"地址: 2 Kallang Pudding Rd, #02-03, 新加坡 349307 ",https://bsgtrading.sg/,电话: +65 6842 0488 ,kennethk@bsgtrading.sg,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:35
Hupfarri Bathroom and Kitchen Gallery Pte Ltd (Ubi Showroom),,,"地址: 17 Ubi Cres, 新加坡 408576 ",https://www.hupfarri.com.sg/,电话: +65 6742 8433 ,enquiry_hupfarri@yahoo.com.sg,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:35
Budget Home,,,"地址: 2 Joo Chiat Rd, #01-1149 Joo Chiat Complex, 新加坡 420002 ",https://www.carousell.sg/u/budgethome/,电话: +65 9732 1308 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:36
My Showroom Pte Ltd,,,"地址: 2 Joo Chiat Rd, #01-1149 Joo Chiat Complex, 新加坡 420002 ",https://www.carousell.sg/u/budgethome/,电话: +65 9732 1308 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:36
Ideal Kitchen and Bathroom Pte Ltd,,,"地址: 577 Balestier Rd, 新加坡 329892 ",http://ideal.com.sg/,电话: +65 6250 1234 ,general@ideal.com.sg,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:36
U-Home Hardware Trading Pte Ltd,,,"地址: 577 Balestier Rd, 新加坡 329892 ",http://ideal.com.sg/,电话: +65 6250 1234 ,general@ideal.com.sg,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:36
Bathroom Gallery Changi Showroom by Wan Tai & Co Pte Ltd,,,"地址: 4001 Ang Mo Kio Industrial Park 1, #01-29, 新加坡 569622 ",http://u-homehardware.com/,电话: +65 9273 9629 ,,Washbasin cabinet commercial supply,"Singapore, Singapore, Singapore",2026-05-11 16:37
