Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
Soon Teck WoodWorks,,,"地址: 38 Woodlands Industrial Park E1, #06-19新加坡 409575 ",https://carpentrydirect.sg/,电话: +65 6428 6248 ,info@carpentrydirect.sg,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 15:57
Empire Works - One Stop Renovation,,,"地址: 784 Upper Bukit Timah Rd, 新加坡 678127 ",https://www.empireworks.com.sg/,电话: +65 8988 2252 ,sales@empireworks.com.sg,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 15:57
HERA Bathroom Experience Center,,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 15:57
Bathzone Pte Ltd,,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 15:57
MR Handyman Singapore,,,"地址: 21 Bukit Batok Cres, #09-79 Wcega Tower, Singapore 658065 ",https://mrhandyman.sg/,电话: +65 9821 1413 ,mrhandymanspore@gmail.com,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 15:58
Ace Craft Renovations Pte Ltd,,,"地址: 99 Whampoa Dr, #01-164, 新加坡 320099 ",https://acecraftrenovations.carrd.co/,电话: +65 8136 4714 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 15:58
Cheong Cheng Renovation & Carpentry Work Pte Ltd,,,"地址: 99 Whampoa Dr, #01-164, 新加坡 320099 ",https://acecraftrenovations.carrd.co/,电话: +65 8136 4714 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 15:58
JS Carpentry & Contracts,,,"地址: 280 Woodlands Industrial Park E5, #08-12/13 (Lobby 2 Harvest @ Woodlands, 新加坡 757322 ",http://www.cheongcheng.com/,电话: +65 6367 6763 ,"c183baa23371454f99f417f6616b724d@sentry.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com",Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 15:58
Speedy Decor,,,"地址: 61 Woodlands Industrial Park E9, #02-14/15/16/24/26 E9, Premium 757047 ",https://www.speedydecor.com/,电话: +65 8839 3899 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 15:59
CARPENTERS 匠 Interior Design (Oxley),,,"地址: 62 Ubi Road 1 #01-01, Oxley Bizhub 2, 新加坡 408734 ",https://www.carpenters.com.sg/,电话: +65 8087 8493 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 15:59
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 15:59
Kitchen Cabinet Singapore,,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:00
Pioneer Hardware Trading Pte. Ltd.,,,"地址: 8 Pandan Crescent, #04-02 (Via Cargo, Lobby 1 or Passenger Lobby 6, 新加坡 128464 ",https://www.zaffiro.com.sg/,电话: +65 6256 2831 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:00
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:00
King Eco Pte Ltd,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:01
Bacera Bathroom and Kitchen Connoisseur,,,"地址: 714 Geylang Rd, 新加坡 389628 ",https://www.bacera.com.sg/,电话: +65 6842 1101 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:01
SG Carpenter Pte Ltd,,,"地址: 64 Kallang Bahru, #06-381, 新加坡 330064 ",https://sgcarpenter.com/,电话: +65 9224 4393 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:02
Picket&Rail Carpentry Kitchen Cabinets Renovation & Interior Design,,,"地址: 35 Senang Cres, 新加坡 416605 ",https://picketandrail.com/pages/interior-design-custom-carpentrye,电话: +65 8081 0551 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:02
Heritage Bathroom Gallery,,,"地址: 35 Senang Cres, 新加坡 416605 ",https://picketandrail.com/pages/interior-design-custom-carpentrye,电话: +65 8081 0551 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:02
Imperial Collective - Best Toilet & Kitchen Renovation Singapore | Residential & Commercial Singapore,,,"地址: 718 Geylang Rd, 新加坡 389630 ",https://heritagebathroomgallery.com.sg/,电话: +65 6846 9130 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:02
Kitchen Cabinet Singapore,,,"地址: 4 Kaki Bukit Ave 1, 新加坡 417939 ",https://www.singaporekitchencabinet.com/,电话: +65 8362 3788 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:03
King Eco Pte Ltd,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:03
Spazio Home & Bath Pte Ltd,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:03
Sin Siang Huat Renovation,,,"地址: 2 Yishun Industrial Street 1, #01-09 Northpoint Bizhub, 新加坡 768159 ",https://spaziohomebathware.com.sg/,电话: +65 6694 1631 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:03
Kenso Art Interiors Pte Ltd,,,"地址: 1014 Geylang East Ave 3, #07-174, Singapore 389729 ",https://www.kensoartinteriors.com/,电话: +65 9855 2598 ,"c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com",Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:03
SG Carpenter Pte Ltd,,,"地址: 64 Kallang Bahru, #06-381, 新加坡 330064 ",https://sgcarpenter.com/,电话: +65 9224 4393 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:04
D'Posh Pte Ltd,,,"地址: 55 Serangoon North Ave 4, #01-04, S9@Serangoon 555859 ",http://www.dposh.com.sg/,电话: +65 6509 8528 ,dposhonline@gmail.com,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:04
Crizto Singapore Pte Ltd,,,"地址: 10 Tampines North Drive 4, #04-08 JTC Space @ Tampines North, 新加坡 528553 ",http://www.crizto.com/,电话: +65 8382 5011 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:04
Design 4 Space Pte Ltd (Tradehub 21),,,"地址: 18 Boon Lay Wy, #01-139 Trade Hub 21, 新加坡 609966 ",http://www.design4space.com.sg/,电话: +65 6767 9919 ,"enquiries@design4space.com.sg, Tradehub@design4space.com.sg, tradehub@design4space.com.sg",Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:05
Light De Bath Pte Ltd (LDB Reno Pte Ltd),,,"地址: 39 Woodlands Cl, #03-44 MEGA@Woodlands, 新加坡 737856 ",http://www.lightdebath.com/,电话: +65 9784 4825 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:05
Uniqool Engineering & Services Pte Ltd - Bathroom and Kitchen Specialised Store,,,"地址: 615 Geylang Rd, 新加坡 389554 ",http://www.uniqool.com.sg/,电话: +65 9627 9987 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:06
Lights & Bathroom Solutions @ Tradehub21,,,"地址: 615 Geylang Rd, 新加坡 389554 ",http://www.uniqool.com.sg/,电话: +65 9627 9987 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:06
Homus Singapore @ T-Space (Bathroom Fixtures & Home Appliances Showroom),,,"地址: 8 Boon Lay Wy, #01-19, 新加坡 609964 ",https://www.facebook.com/lightsandbathroom,电话: +65 6259 1536 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:06
Carpentry.sg,,,"地址: Tampines North Dr. 1, #01-18 T-Space Building, 新加坡 528559 ",https://www.homussingapore.com/,电话: +65 8089 2811 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:06
Bacera Bathroom and Kitchen Connoisseur,,,"地址: 714 Geylang Rd, 新加坡 389628 ",https://www.bacera.com.sg/,电话: +65 6842 1101 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:07
LAI RENOVATION & CONSTRUCTION,,,"地址: 7, #08-13 Mandai Link, 新加坡 728653 ",http://laireno.sg/,电话: +65 9107 3068 ,laireno@outlook.com,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:07
HausBedroom.sg - Custom Wardrobe & Cabinets Specialist,,,"地址: 7, #08-13 Mandai Link, 新加坡 728653 ",http://laireno.sg/,电话: +65 9107 3068 ,laireno@outlook.com,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:07
Wasser Bath Pte Ltd,,,"地址: 9 Kaki Bukit Rd 1, #02-10 Eunos Technolink, 新加坡 415938 ",http://hausbedroom.sg/,电话: +65 6842 1514 ,hausbedroom@gmail.com,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:07
CARPENTERS 匠 Interior Design (Tradehub21),,,"地址: Tradehub21 #01-75, 26 Boon Lay Wy, 新加坡 609970 ",https://www.carpenters.com.sg/,电话: +65 8928 0949 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:08
Startec Construction Pte Ltd,,,"地址: 6 Toa Payoh Industrial Park, #01-1317/1319, 新加坡 319058 ",,电话: +65 9875 6952 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:08
Bathroom Warehouse Bukit Merah,,,"地址: 6 Toa Payoh Industrial Park, #01-1317/1319, 新加坡 319058 ",,电话: +65 9875 6952 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:08
Eight Design (East Showroom) – Top Interior Design Services Singapore,,,"地址: 6 Toa Payoh Industrial Park, #01-1317/1319, 新加坡 319058 ",,电话: +65 9875 6952 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:08
9 Star Services Pte Ltd - Bathroom Specialist,,,"地址: 140 Paya Lebar Rd, #01-04 AZ@Paya Lebar, 新加坡 409015 ",http://www.eightdesign.com.sg/,电话: +65 6266 8880 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:08
The Designers by Ban Yew,,,"地址: 140 Paya Lebar Rd, #01-04 AZ@Paya Lebar, 新加坡 409015 ",http://www.eightdesign.com.sg/,电话: +65 6266 8880 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:08
9 Creation Pte Ltd @ Tradehub 21,,,"地址: 122 Eunos Ave 7, #08-13 Richfield Industrial Centre, 新加坡 409575 ",http://www.banyew.com/,电话: +65 8886 3924 ,"18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, 79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com, 463991d7bca24f02a0baf16f9e6eda73@sentry.wixpress.com",Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:09
Joydom Engineering Pte Ltd,,,"地址: 5 Little Rd, #03 01 Cemtex Industrial Building, 新加坡 536983 ",https://www.joydom.com.sg/,电话: +65 8163 2621 ,enquiry@joydom.com.sg,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:09
LS Handyman Service ( S ) Pte Ltd,,,"地址: 5 Little Rd, #03 01 Cemtex Industrial Building, 新加坡 536983 ",https://www.joydom.com.sg/,电话: +65 8163 2621 ,enquiry@joydom.com.sg,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:09
Cosy Carpentry Pte Ltd,,,"地址: 3025 Ubi Rd 3, #03-117, Singapore 408653 ",https://www.handymansingapore.net/,电话: +65 6854 4992 ,support@handymansingapore.net,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:10
Hoe Kee Superstore Pte Ltd (Jalan Besar Showroom),,,"地址: 3012 Bedok Industrial Park E, #04-2028, 新加坡 489978 ",http://www.cosycarpentry.com/,电话: +65 6392 9909 ,,Washbasin cabinet contractor,"Singapore, Singapore, Singapore",2026-05-11 16:10
