Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
HERA Bathroom Experience Center,,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:52
Bathzone Pte Ltd,,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:52
BOSHSINI,,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:52
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 666 Geylang Rd, 新加坡 389594 ",https://www.boshsini.com.sg/,电话: +65 9855 0189 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:53
Heritage Bathroom Gallery,,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:53
Bathroom Warehouse Bukit Merah,,,"地址: 718 Geylang Rd, 新加坡 389630 ",https://heritagebathroomgallery.com.sg/,电话: +65 6846 9130 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:53
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:54
Bacera Bathroom and Kitchen Connoisseur,,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:54
Homus Singapore @ T-Space (Bathroom Fixtures & Home Appliances Showroom),,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:54
King Eco Pte Ltd,,,"地址: Tampines North Dr. 1, #01-18 T-Space Building, 新加坡 528559 ",https://www.homussingapore.com/,电话: +65 8089 2811 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:55
Bathroom Warehouse Changi (HQ),,,"地址: 623 Geylang Rd, 新加坡 389561 ",http://bathroomwarehouse.com.sg/,电话: +65 6542 0859 ,sales@bathroomwarehouse.com.sg,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:55
Bathlabz Vertex,,,"地址: 33 Ubi Ave 3, #01-54, Singapore 408868 ",http://www.bathlabz.com.sg/contact/,电话: +65 6684 9512 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:56
The Designers by Ban Yew,,,"地址: 122 Eunos Ave 7, #08-13 Richfield Industrial Centre, 新加坡 409575 ",http://www.banyew.com/,电话: +65 8886 3924 ,"18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, 79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com, 463991d7bca24f02a0baf16f9e6eda73@sentry.wixpress.com",Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:56
Lucky Khoon Bathroom Studio (Tradehub 21),,,"地址: 122 Eunos Ave 7, #08-13 Richfield Industrial Centre, 新加坡 409575 ",http://www.banyew.com/,电话: +65 8886 3924 ,"18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, 79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com, 463991d7bca24f02a0baf16f9e6eda73@sentry.wixpress.com",Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:56
"Rubine Singapore - Leading Instant Water Heater, Kitchen Sink, Bath Fittings & Best Bathroom Furniture Accessories Supplier",,,"地址: 24 Boon Lay Wy, #01-72/73, 新加坡 609969 ",http://www.luckykhoon.com.sg/,电话: +65 6795 5835 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:57
Wasser Bath Pte Ltd,,,"地址: 469 Balestier Rd, 新加坡 329841 ",https://www.wasserbath.com/,电话: +65 6258 8533 ,sales.wasserbath@gmail.com,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:57
Sim Siang Choon Hardware(S) Pte Ltd,,,"地址: 469 Balestier Rd, 新加坡 329841 ",https://www.wasserbath.com/,电话: +65 6258 8533 ,sales.wasserbath@gmail.com,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:58
Rigel Experience Centre,,,"地址: 42 Changi South Street 1, 新加坡 486763 ",https://simsiangchoon.com/,电话: +65 6266 6632 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:58
Excel Brand Experience Centre (BEC),,,"地址: Excel Brand Experience Center, 10 Admiralty St, #03-35 Northlink Building, 新加坡 757695 ",http://excelhw.com.sg/,电话: +65 6853 3113 ,"aina.nurazlina@jumpstartcommerce.com, info@stagheaddesigns.com, you@firm.com.sg",Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:58
Bathroom Gallery Changi Showroom by Wan Tai & Co Pte Ltd,,,"地址: Excel Brand Experience Center, 10 Admiralty St, #03-35 Northlink Building, 新加坡 757695 ",http://excelhw.com.sg/,电话: +65 6853 3113 ,"aina.nurazlina@jumpstartcommerce.com, info@stagheaddesigns.com, you@firm.com.sg",Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:59
Rigel Experience Centre,,,"地址: 20 Changi Business Park Central 2, Rigel Innovation Centre, 新加坡 486031 ",http://www.rigel-group.com/,电话: +65 6812 6288 ,sales@rigel-group.com,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:59
Space Factor Pte Ltd,,,"地址: 20 Changi Business Park Central 2, Rigel Innovation Centre, 新加坡 486031 ",http://www.rigel-group.com/,电话: +65 6812 6288 ,sales@rigel-group.com,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 15:59
LSK Bath & Light Pte Ltd,,,"地址: 122 Eunos Ave 7, #08-03 Richfield Industrial Centre, 新加坡 409575 ",https://www.spacefactor.com.sg/,电话: +65 6746 0082 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:00
Boon Huat Interior Design,,,"地址: 605 Geylang Rd, 新加坡 389544 ",,电话: +65 8228 4786 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:00
Sim Siang Choon Hardware(S) Pte Ltd,,,"地址: 280 Woodlands Industrial Park E5, #08-28, 新加坡 757322 ",https://www.boonhuat.com.sg/,电话: +65 9636 4507 ,"c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, 460ff4620fa44cba8df530afde949785@sentry.wixpress.com",Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:00
Song-Cho Kitchen Design Hub,,,"地址: 280 Woodlands Industrial Park E5, #08-28, 新加坡 757322 ",https://www.boonhuat.com.sg/,电话: +65 9636 4507 ,"c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, 460ff4620fa44cba8df530afde949785@sentry.wixpress.com",Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:00
My Showroom Pte Ltd,,,"地址: 37 Jalan Pemimpin, Mapex, #01-09, 新加坡 577177 ",http://songcho.com.sg/,电话: +65 6333 1198 ,enquiry@songcho.com.sg,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:01
The I-Plan Studio™️ Pte Ltd,,,"地址: Blk 9 Kaki Bukit Rd 1, #01-06, 新加坡 415938 ",http://www.myshowroom.com.sg/,电话: +65 6547 5416 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:01
Picket&Rail Carpentry Kitchen Cabinets Renovation & Interior Design,,,"地址: 35 Senang Cres, 新加坡 416605 ",https://picketandrail.com/pages/interior-design-custom-carpentrye,电话: +65 8081 0551 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:01
Yeoka Lights and Bath,,,"地址: 35 Senang Cres, 新加坡 416605 ",https://picketandrail.com/pages/interior-design-custom-carpentrye,电话: +65 8081 0551 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:01
Blum Singapore Experience Centre,,,"地址: 150 Ubi Avenue 4, #02-01 Ubi Biz-Hub, 150 Ubi Ave 4, 新加坡 408825 ",http://blum.com/sg/en/,,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:02
Renopedia Pte Ltd,,,"地址: 101 Upper Cross Street, People's Park Centre #08-15, 新加坡 058357 ",https://renopedia.sg/,电话: +65 6536 4676 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:02
CARPENTERS 匠 Interior Design (Tradehub21),,,"地址: Tradehub21 #01-75, 26 Boon Lay Wy, 新加坡 609970 ",https://www.carpenters.com.sg/,电话: +65 8928 0949 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:02
Cheong Cheng Renovation & Carpentry Work Pte Ltd,,,"地址: 280 Woodlands Industrial Park E5, #08-12/13 (Lobby 2 Harvest @ Woodlands, 新加坡 757322 ",http://www.cheongcheng.com/,电话: +65 6367 6763 ,"c183baa23371454f99f417f6616b724d@sentry.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com",Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:03
Fullsun Marketing Pte Ltd,,,"地址: 280 Woodlands Industrial Park E5, #08-12/13 (Lobby 2 Harvest @ Woodlands, 新加坡 757322 ",http://www.cheongcheng.com/,电话: +65 6367 6763 ,"c183baa23371454f99f417f6616b724d@sentry.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com",Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:03
Casa Holdings Ltd,,,"地址: 15 Kian Teck Cres, 新加坡 628884 ",https://casa.sg/,电话: +65 6268 0066 ,corporate@casa.com.sg,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:03
Lights N Showers,,,"地址: #01-01 Mactaggart Building, 42 MacTaggart Rd, 新加坡 368086 ",http://lightsnshowers.com.sg/,电话: +65 8073 2995 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:03
Poh Seng Hardware Enterprise Pte Ltd,,,"地址: #01-01 Mactaggart Building, 42 MacTaggart Rd, 新加坡 368086 ",http://lightsnshowers.com.sg/,电话: +65 8073 2995 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:04
Ideal Kitchen and Bathroom Pte Ltd,,,"地址: 153 Jln Besar, 新加坡 208871 ",https://pohsenghardware.com.sg/,电话: +65 6296 7318 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:04
Cosentino City Singapore,,,"地址: 577 Balestier Rd, 新加坡 329892 ",http://ideal.com.sg/,电话: +65 6250 1234 ,general@ideal.com.sg,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:04
Harper's Domus,,,"地址: 1 Kampong Ampat, #08-10, 新加坡 368314 ",,,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:05
I Interior Design,,,"地址: 1 Kampong Ampat, #08-10, 新加坡 368314 ",,,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:05
Lights & Bathroom Solutions @Az,,,"地址: 110 Lor 23 Geylang, #06-09 Victory Centre, 新加坡 388410 ",https://www.iinterior.sg/,电话: +65 8858 5250 ,,Washbasin cabinet design center,"Singapore, Singapore, Singapore",2026-05-11 16:05
