Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
HERA Bathroom Experience Center,,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Washbasin cabinet manufacturer,"Singapore, Singapore, Singapore",2026-05-11 16:28
Bathzone Pte Ltd,,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Washbasin cabinet manufacturer,"Singapore, Singapore, Singapore",2026-05-11 16:29
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Washbasin cabinet manufacturer,"Singapore, Singapore, Singapore",2026-05-11 16:29
King Eco Pte Ltd,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Washbasin cabinet manufacturer,"Singapore, Singapore, Singapore",2026-05-11 16:29
Bacera Bathroom and Kitchen Connoisseur,,,"地址: 714 Geylang Rd, 新加坡 389628 ",https://www.bacera.com.sg/,电话: +65 6842 1101 ,,Washbasin cabinet manufacturer,"Singapore, Singapore, Singapore",2026-05-11 16:30
Bathroom Warehouse Bukit Merah,,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Washbasin cabinet manufacturer,"Singapore, Singapore, Singapore",2026-05-11 16:30
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Washbasin cabinet manufacturer,"Singapore, Singapore, Singapore",2026-05-11 16:30
Heritage Bathroom Gallery,,,"地址: 718 Geylang Rd, 新加坡 389630 ",https://heritagebathroomgallery.com.sg/,电话: +65 6846 9130 ,,Washbasin cabinet manufacturer,"Singapore, Singapore, Singapore",2026-05-11 16:30
BOSHSINI,,,"地址: 666 Geylang Rd, 新加坡 389594 ",https://www.boshsini.com.sg/,电话: +65 9855 0189 ,,Washbasin cabinet manufacturer,"Singapore, Singapore, Singapore",2026-05-11 16:30
Homus Singapore @ T-Space (Bathroom Fixtures & Home Appliances Showroom),,,"地址: Tampines North Dr. 1, #01-18 T-Space Building, 新加坡 528559 ",https://www.homussingapore.com/,电话: +65 8089 2811 ,,Washbasin cabinet manufacturer,"Singapore, Singapore, Singapore",2026-05-11 16:31
Tuscani Tapware,,,"地址: Tampines North Dr. 1, #01-18 T-Space Building, 新加坡 528559 ",https://www.homussingapore.com/,电话: +65 8089 2811 ,,Washbasin cabinet manufacturer,"Singapore, Singapore, Singapore",2026-05-11 16:31
Kitchen Cabinet Singapore,,,"地址: 50 Genting Ln, #03-03 实达工业大厦新加坡 349558 ",http://www.tuscanitapware.com/,电话: +65 8938 8912 ,,Washbasin cabinet manufacturer,"Singapore, Singapore, Singapore",2026-05-11 16:31
A Star Furnishing Pte Ltd,,,"地址: 71 Woodlands Industrial Park E9, #03-15 Wave 9, 新加坡 757048 ",https://astarfurnishing.sg/,电话: +65 6200 8588 ,sales@astarfurnishing.sg,Washbasin cabinet manufacturer,"Singapore, Singapore, Singapore",2026-05-11 16:32
