Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
HERA Bathroom Experience Center,,,,,,,Washbasin cabinet outlet,"Singapore, Singapore, Singapore",2026-05-11 16:26
Bathzone Pte Ltd,,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Washbasin cabinet outlet,"Singapore, Singapore, Singapore",2026-05-11 16:26
Premium Outlet by Econflo Systems Pte Ltd,,,"地址: 2 Boon Leat Terrace, #01-03 Harbourside Building 2, Singapore 119844 ",https://toilets.com.sg/,电话: +65 6266 5562 ,hello@toilets.com.sg,Washbasin cabinet outlet,"Singapore, Singapore, Singapore",2026-05-11 16:27
Heritage Bathroom Gallery,,,"地址: 2 Boon Leat Terrace, #01-03 Harbourside Building 2, Singapore 119844 ",https://toilets.com.sg/,电话: +65 6266 5562 ,hello@toilets.com.sg,Washbasin cabinet outlet,"Singapore, Singapore, Singapore",2026-05-11 16:27
Bathroom Warehouse Bukit Merah,,,"地址: 718 Geylang Rd, 新加坡 389630 ",https://heritagebathroomgallery.com.sg/,电话: +65 6846 9130 ,,Washbasin cabinet outlet,"Singapore, Singapore, Singapore",2026-05-11 16:27
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Washbasin cabinet outlet,"Singapore, Singapore, Singapore",2026-05-11 16:27
Bathroom Warehouse Ubi Vertex,,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Washbasin cabinet outlet,"Singapore, Singapore, Singapore",2026-05-11 16:27
King Eco Pte Ltd,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Washbasin cabinet outlet,"Singapore, Singapore, Singapore",2026-05-11 16:28
Spazio Home & Bath Pte Ltd,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Washbasin cabinet outlet,"Singapore, Singapore, Singapore",2026-05-11 16:28
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Washbasin cabinet outlet,"Singapore, Singapore, Singapore",2026-05-11 16:28
Bacera Bathroom and Kitchen Connoisseur,,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Washbasin cabinet outlet,"Singapore, Singapore, Singapore",2026-05-11 16:29
Homus Singapore @ T-Space (Bathroom Fixtures & Home Appliances Showroom),,,"地址: 714 Geylang Rd, 新加坡 389628 ",https://www.bacera.com.sg/,电话: +65 6842 1101 ,,Washbasin cabinet outlet,"Singapore, Singapore, Singapore",2026-05-11 16:29
Pioneer Hardware Trading Pte. Ltd.,,,"地址: Tampines North Dr. 1, #01-18 T-Space Building, 新加坡 528559 ",https://www.homussingapore.com/,电话: +65 8089 2811 ,,Washbasin cabinet outlet,"Singapore, Singapore, Singapore",2026-05-11 16:30
