Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
HERA Bathroom Experience Center,,,,,,,Washbasin cabinet procurement,"Singapore, Singapore, Singapore",2026-05-11 16:06
Elite Sanitary Trading,,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Washbasin cabinet procurement,"Singapore, Singapore, Singapore",2026-05-11 16:06
Bathzone Pte Ltd,,,"地址: 269 Changi Rd, 新加坡 419752 ",https://elite269.sg/,电话: +65 6842 3898 ,,Washbasin cabinet procurement,"Singapore, Singapore, Singapore",2026-05-11 16:06
Bathroom Warehouse Bukit Merah,,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Washbasin cabinet procurement,"Singapore, Singapore, Singapore",2026-05-11 16:06
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Washbasin cabinet procurement,"Singapore, Singapore, Singapore",2026-05-11 16:07
Bathroom Warehouse Ubi Vertex,,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Washbasin cabinet procurement,"Singapore, Singapore, Singapore",2026-05-11 16:07
Bacera Bathroom and Kitchen Connoisseur,,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Washbasin cabinet procurement,"Singapore, Singapore, Singapore",2026-05-11 16:07
Heritage Bathroom Gallery,,,"地址: 714 Geylang Rd, 新加坡 389628 ",https://www.bacera.com.sg/,电话: +65 6842 1101 ,,Washbasin cabinet procurement,"Singapore, Singapore, Singapore",2026-05-11 16:08
Home & Bathroom Building Products Pte Ltd,,,"地址: 566 Balestier Rd, 新加坡 329883 ",http://www.homeandbathroom.com.sg/,电话: +65 6253 4655 ,,Washbasin cabinet procurement,"Singapore, Singapore, Singapore",2026-05-11 16:08
Wasser Bath Pte Ltd,,,"地址: 566 Balestier Rd, 新加坡 329883 ",http://www.homeandbathroom.com.sg/,电话: +65 6253 4655 ,,Washbasin cabinet procurement,"Singapore, Singapore, Singapore",2026-05-11 16:08
King Eco Pte Ltd,,,"地址: 469 Balestier Rd, 新加坡 329841 ",https://www.wasserbath.com/,电话: +65 6258 8533 ,,Washbasin cabinet procurement,"Singapore, Singapore, Singapore",2026-05-11 16:09
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Washbasin cabinet procurement,"Singapore, Singapore, Singapore",2026-05-11 16:09
Spazio Home & Bath Pte Ltd,,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Washbasin cabinet procurement,"Singapore, Singapore, Singapore",2026-05-11 16:09
Homus Singapore @ T-Space (Bathroom Fixtures & Home Appliances Showroom),,,"地址: 2 Yishun Industrial Street 1, #01-09 Northpoint Bizhub, 新加坡 768159 ",https://spaziohomebathware.com.sg/,电话: +65 6694 1631 ,noreply@spaziohomebathware.com.sg,Washbasin cabinet procurement,"Singapore, Singapore, Singapore",2026-05-11 16:10
