Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
Elite Sanitary Trading,,,"地址: 269 Changi Rd, 新加坡 419752 ",https://elite269.sg/,电话: +65 6842 3898 ,elite269e@gmail.com,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:10
HERA Bathroom Experience Center,,,"地址: 269 Changi Rd, 新加坡 419752 ",https://elite269.sg/,电话: +65 6842 3898 ,elite269e@gmail.com,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:10
Bathzone Pte Ltd,,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:10
Home & Bathroom Building Products Pte Ltd,,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:10
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:11
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:11
Bathroom Warehouse Bukit Merah,,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:12
Heritage Bathroom Gallery,,,"地址: 718 Geylang Rd, 新加坡 389630 ",https://heritagebathroomgallery.com.sg/,电话: +65 6846 9130 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:13
Spazio Home & Bath Pte Ltd,,,"地址: 718 Geylang Rd, 新加坡 389630 ",https://heritagebathroomgallery.com.sg/,电话: +65 6846 9130 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:13
BATHCRAFT (Climate Vouchers Accepted) (Bathroom & Lighting & Kitchen Appliances Showroom),,,"地址: 65 Ubi Rd 1, #01-89 Oxley Bizhub, 新加坡 408729 ",https://bathcraft.com.sg/,电话: +65 9896 8585 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:13
Pioneer Hardware Trading Pte. Ltd.,,,"地址: 8 Pandan Crescent, #04-02 (Via Cargo, Lobby 1 or Passenger Lobby 6, 新加坡 128464 ",https://www.zaffiro.com.sg/,电话: +65 6256 2831 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:13
King Eco Pte Ltd,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:14
Homus Singapore @ T-Space (Bathroom Fixtures & Home Appliances Showroom),,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:14
Bacera Bathroom and Kitchen Connoisseur,,,"地址: 714 Geylang Rd, 新加坡 389628 ",https://www.bacera.com.sg/,电话: +65 6842 1101 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:14
Everyhome.SG | Online Home and Bathroom Supply Store,,,"地址: 714 Geylang Rd, 新加坡 389628 ",https://www.bacera.com.sg/,电话: +65 6842 1101 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:14
Bathroom Accessories I Zenterra Shop,,,"地址: 1090 Lower Delta Rd, #04-06, 新加坡 169201 ",https://everyhome.sg/,电话: +65 6232 6612 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:15
Wasser Bath Pte Ltd,,,"地址: 61 Ubi Rd 1, #01-26/27 Zenttera Lightings, Oxley Bizhub 1, 新加坡 408727 ",https://www.facebook.com/share/1KKCxH32cK/?mibextid=wwXIfr,电话: +65 8725 6676 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:15
Bathroom Warehouse Ubi Vertex,,,"地址: 469 Balestier Rd, 新加坡 329841 ",https://www.wasserbath.com/,电话: +65 6258 8533 ,sales.wasserbath@gmail.com,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:15
Tuscani Tapware,,,"地址: 469 Balestier Rd, 新加坡 329841 ",https://www.wasserbath.com/,电话: +65 6258 8533 ,sales.wasserbath@gmail.com,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:15
Uniqool Engineering & Services Pte Ltd - Bathroom and Kitchen Specialised Store,,,"地址: 50 Genting Ln, #03-03 实达工业大厦新加坡 349558 ",http://www.tuscanitapware.com/,电话: +65 8938 8912 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:16
Tap & Faucet City Singapore,,,"地址: 615 Geylang Rd, 新加坡 389554 ",http://www.uniqool.com.sg/,电话: +65 9627 9987 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:16
Bathlabz Vertex,,,,https://tapfaucetcity.com/,电话: +65 3158 6186 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:17
Uniqool Engineering & Services Pte Ltd - Bathroom and Kitchen Specialised Store,,,"地址: 615 Geylang Rd, 新加坡 389554 ",http://www.uniqool.com.sg/,电话: +65 9627 9987 ,enquiry@uniqool.com.sg,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:17
Lights & Bathroom Solutions @ Tradehub21,,,"地址: 615 Geylang Rd, 新加坡 389554 ",https://www.facebook.com/lightsandbathroom,电话: +65 6259 1536 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:18
Wasser Bath Pte Ltd,,,"地址: 8 Boon Lay Wy, #01-19, 新加坡 609964 ",https://www.facebook.com/lightsandbathroom,电话: +65 6259 1536 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:18
Hoe Kee Superstore Pte Ltd (Jalan Besar Showroom),,,"地址: 8 Boon Lay Wy, #01-19, 新加坡 609964 ",https://www.facebook.com/lightsandbathroom,电话: +65 6259 1536 ,,Washbasin cabinet project supplier,"Singapore, Singapore, Singapore",2026-05-11 16:18
