Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:35
Eight Design (East Showroom) – Top Interior Design Services Singapore,,,"地址: 140 Paya Lebar Rd, #01-04 AZ@Paya Lebar, 新加坡 409015 ",http://www.eightdesign.com.sg/,电话: +65 6266 8880 ,sales@eightdesign.com.sg,Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:35
Bathroom Warehouse Bukit Merah,,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:36
Homus Singapore @ T-Space (Bathroom Fixtures & Home Appliances Showroom),,,"地址: Tampines North Dr. 1, #01-18 T-Space Building, 新加坡 528559 ",https://www.homussingapore.com/,电话: +65 8089 2811 ,,Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:36
CARPENTERS 匠 Interior Design (Oxley),,,"地址: 62 Ubi Road 1 #01-01, Oxley Bizhub 2, 新加坡 408734 ",https://www.carpenters.com.sg/,电话: +65 8087 8493 ,,Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:36
Renopedia Pte Ltd,,,"地址: 101 Upper Cross Street, People's Park Centre #08-15, 新加坡 058357 ",https://renopedia.sg/,电话: +65 6536 4676 ,,Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:36
Speedy Decor,,,"地址: 61 Woodlands Industrial Park E9, #02-14/15/16/24/26 E9, Premium 757047 ",https://www.speedydecor.com/,电话: +65 8839 3899 ,,Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:37
Crizto Singapore Pte Ltd,,,"地址: 10 Tampines North Drive 4, #04-08 JTC Space @ Tampines North, 新加坡 528553 ",http://www.crizto.com/,电话: +65 8382 5011 ,,Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:37
Spacious Planners Pte. Ltd.,,,"地址: 2 Jurong East Street 21, #03-31 IMM Building, 新加坡 609601 ",https://spacious.com.sg/,电话: +65 6565 7227 ,,Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:37
Bathroom Warehouse Changi (HQ),,,"地址: 25 Changi South Ave 2, Level 2 OCH Building, 新加坡 486594 ",http://bathroomwarehouse.com.sg/,电话: +65 6542 0859 ,sales@bathroomwarehouse.com.sg,Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:38
Clest Design,,,"地址: 2022 Bukit Batok Street 23, #02-156, 新加坡 659527 ",https://www.clestdesign.com/,电话: +65 8093 2156 ,"18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, 79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com",Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:38
Chapter 13 Interior Design,,,"地址: Yishun Industrial Street 1, #01-20 Northview Bizhub新加坡 768090 ",https://www.chapter13.com.sg/,电话: +65 6258 5013 ,,Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:38
Niche Koncept Design Group,,,"地址: 65 Ubi Cres, #07-04, 新加坡 408559 ",https://nichekoncept.sg/,电话: +65 8088 3835 ,,Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:38
DreamR,,,"地址: 211 Henderson Rd, #02-04 Henderson Industrial Building, Singapore 159552 ",http://thedreamrproject.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,电话: +65 9727 3132 ,hello@thedreamrproject.com,Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:39
Cosmos Decor - Interior Design & Renovation Singapore,,,"地址: 5 Little Rd, #06-01 Cemtex Industrial Building, 新加坡 536983 ",https://www.cosmosdecor.com/,电话: +65 9880 6353 ,,Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:39
Design Identity,,,"地址: 28 Senang Cres, #02-09, Bizhub28 416601 ",https://designidentityinterior.com/,电话: +65 8893 3779 ,,Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:39
Ming's Design & Construction Pte Ltd,,,"地址: 71 Ubi Cres, #03-05 Excalibur Centre, Singapore 408571 ",http://mingdcons.com/,电话: +65 8111 0206 ,"contact@mingdcons.com, mings.design.construction@gmail.com",Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:40
T Se7en Alucraft,,,"地址: 39 Woodlands Cl, #05-20, 新加坡 737856 ",https://www.tse7en.com/,电话: +65 9615 9273 ,sales@tse7en.com,Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:40
Z L CONSTRUCTION,,,"地址: 280 Woodlands Industrial Park E5, #04-23 Harvest @ Woodlands新加坡 757322 ",https://www.zlconstruction.com.sg/,电话: +65 6284 0118 ,,Washbasin cabinet property developer,"Singapore, Singapore, Singapore",2026-05-11 16:40
