Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
HERA Bathroom Experience Center,,,,,,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:23
Elite Sanitary Trading,,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:24
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:24
Bathzone Pte Ltd,,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:24
Heritage Bathroom Gallery,,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:25
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:25
Bathroom Warehouse Bukit Merah,,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:26
Home & Bathroom Building Products Pte Ltd,,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:26
Homus Singapore @ T-Space (Bathroom Fixtures & Home Appliances Showroom),,,"地址: 566 Balestier Rd, 新加坡 329883 ",http://www.homeandbathroom.com.sg/,电话: +65 6253 4655 ,sales@homeandbathroom.com.sg,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:27
BATHCRAFT (Climate Vouchers Accepted) (Bathroom & Lighting & Kitchen Appliances Showroom),,,"地址: 65 Ubi Rd 1, #01-89 Oxley Bizhub, 新加坡 408729 ",https://bathcraft.com.sg/,电话: +65 9896 8585 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:27
BOSHSINI,,,"地址: 666 Geylang Rd, 新加坡 389594 ",https://www.boshsini.com.sg/,电话: +65 9855 0189 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:27
Bacera Bathroom and Kitchen Connoisseur,,,"地址: 666 Geylang Rd, 新加坡 389594 ",https://www.boshsini.com.sg/,电话: +65 9855 0189 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:27
Pioneer Hardware Trading Pte. Ltd.,,,"地址: 714 Geylang Rd, 新加坡 389628 ",https://www.bacera.com.sg/,电话: +65 6842 1101 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:28
Spazio Home & Bath Pte Ltd,,,"地址: 8 Pandan Crescent, #04-02 (Via Cargo, Lobby 1 or Passenger Lobby 6, 新加坡 128464 ",https://www.zaffiro.com.sg/,电话: +65 6256 2831 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:28
Tapz & Coffee,,,"地址: 157 Jln Besar, 新加坡 208874 ",https://tapzandcoffee.com.sg/,电话: +65 9698 2623 ,"tapzandcoffee@gmail.com, example@gmail.com",Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:28
Lights & Bathroom Solutions @ Tradehub21,,,"地址: 157 Jln Besar, 新加坡 208874 ",https://tapzandcoffee.com.sg/,电话: +65 9698 2623 ,"tapzandcoffee@gmail.com, example@gmail.com",Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:28
Everyhome.SG | Online Home and Bathroom Supply Store,,,"地址: 8 Boon Lay Wy, #01-19, 新加坡 609964 ",https://www.facebook.com/lightsandbathroom,电话: +65 6259 1536 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:29
Uniqool Engineering & Services Pte Ltd - Bathroom and Kitchen Specialised Store,,,"地址: 1090 Lower Delta Rd, #04-06, 新加坡 169201 ",https://everyhome.sg/,电话: +65 6232 6612 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:29
Bathroom Warehouse Ubi Vertex,,,"地址: 615 Geylang Rd, 新加坡 389554 ",http://www.uniqool.com.sg/,电话: +65 9627 9987 ,enquiry@uniqool.com.sg,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:29
Sim Siang Choon Hardware(S) Pte Ltd,,,"地址: 33 #01 51 Ubi Ave 3, #01-51 Vertex, 新加坡 408868 ",,电话: +65 6659 0796 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:29
Hoe Kee Superstore Pte Ltd (Jalan Besar Showroom),,,"地址: 42 Changi South Street 1, 新加坡 486763 ",https://simsiangchoon.com/,电话: +65 6266 6632 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:30
Everyhome.SG | Online Home and Bathroom Supply Store,,,"地址: 1090 Lower Delta Rd, #04-06, 新加坡 169201 ",https://everyhome.sg/,电话: +65 6232 6612 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:30
Bathlabz Vertex,,,"地址: 33 Ubi Ave 3, #01-54, Singapore 408868 ",http://www.bathlabz.com.sg/contact/,电话: +65 6684 9512 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:30
高端浴室廊,,,"地址: 33 Ubi Ave 3, #01-54, Singapore 408868 ",http://www.bathlabz.com.sg/contact/,电话: +65 6684 9512 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:30
Hupfarri Bathroom and Kitchen Gallery (Changi Showroom),,,"地址: 261A/C, Changi Rd, 新加坡 419748 ",https://www.hupfarri.com.sg/,电话: +65 6742 9506 ,enquiry_hupfarri@yahoo.com.sg,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:30
Bathroom Warehouse Ubi Vertex,,,"地址: 33 #01 51 Ubi Ave 3, #01-51 Vertex, 新加坡 408868 ",,电话: +65 6659 0796 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:31
Hosin Trading Pte Ltd (OXO Ceramic)- Balestier Branch,,,"地址: 33 #01 51 Ubi Ave 3, #01-51 Vertex, 新加坡 408868 ",,电话: +65 6659 0796 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:31
D'Posh Pte Ltd,,,"地址: 562A Balestier Rd, 新加坡 329878 ",,电话: +65 9105 5826 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:31
PH Bathroom Gallery,,,"地址: 562A Balestier Rd, 新加坡 329878 ",,电话: +65 9105 5826 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:31
Lucky Khoon Bathroom Studio (Tradehub 21),,,"地址: 648 Geylang Rd, 新加坡 389578 ",https://phbathroom.com/,电话: +65 6745 1535 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:31
King Eco Pte Ltd,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:31
Budget Home,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:32
9 Star Services Pte Ltd - Bathroom Specialist,,,"地址: 2 Joo Chiat Rd, #01-1149 Joo Chiat Complex, 新加坡 420002 ",https://www.carousell.sg/u/budgethome/,电话: +65 9732 1308 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:32
Light De Bath Pte Ltd (LDB Reno Pte Ltd),,,"地址: Mega@Woodlands, 39 Woodlands Cl, #01-55 Lobby, D 737856 ",http://9starservices.sg/,,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:32
360 Bathware Pte Ltd,,,"地址: 640 Rowell Rd, #01-76 Rowell Court, 新加坡 200640 ",https://www.360bathware.com/,电话: +65 6291 2887 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:33
Bathroom Warehouse Changi (HQ),,,"地址: 640 Rowell Rd, #01-76 Rowell Court, 新加坡 200640 ",https://www.360bathware.com/,电话: +65 6291 2887 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:33
Domaco,,,"地址: 25 Changi South Ave 2, Level 2 OCH Building, 新加坡 486594 ",http://bathroomwarehouse.com.sg/,电话: +65 6542 0859 ,sales@bathroomwarehouse.com.sg,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:33
Bathroom Accessories I Zenterra Shop,,,"地址: 61 Ubi Rd 1, #01-26/27 Zenttera Lightings, Oxley Bizhub 1, 新加坡 408727 ",https://www.facebook.com/share/1KKCxH32cK/?mibextid=wwXIfr,电话: +65 8725 6676 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:34
Ace Craft Renovations Pte Ltd,,,"地址: 61 Ubi Rd 1, #01-26/27 Zenttera Lightings, Oxley Bizhub 1, 新加坡 408727 ",https://www.facebook.com/share/1KKCxH32cK/?mibextid=wwXIfr,电话: +65 8725 6676 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:34
Biene Woodlands (NEW),,,"地址: 99 Whampoa Dr, #01-164, 新加坡 320099 ",https://acecraftrenovations.carrd.co/,电话: +65 8136 4714 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:34
"Rubine Singapore - Leading Instant Water Heater, Kitchen Sink, Bath Fittings & Best Bathroom Furniture Accessories Supplier",,,"地址: 15 Kian Teck Cres, 新加坡 628884 ",http://www.rubine.com.sg/,电话: +65 6268 0066 ,"rubine@casa.com.sg, Service@casa.com.sg, Showroom@casa.com.sg",Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:34
Hupfarri Bathroom and Kitchen Gallery Pte Ltd (Ubi Showroom),,,"地址: 15 Kian Teck Cres, 新加坡 628884 ",http://www.rubine.com.sg/,电话: +65 6268 0066 ,"rubine@casa.com.sg, Service@casa.com.sg, Showroom@casa.com.sg",Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:35
Las Vela,,,"地址: 36 Jln Kilang Barat, 新加坡 159366 ",https://lasvela.sg/,电话: +65 6019 0775 ,hello@lasvela.sg,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:35
Crizto Singapore Pte Ltd,,,"地址: 36 Jln Kilang Barat, 新加坡 159366 ",https://lasvela.sg/,电话: +65 6019 0775 ,hello@lasvela.sg,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:35
InzWerkz Pte Ltd,,,"地址: 10 Tampines North Drive 4, #04-08 JTC Space @ Tampines North, 新加坡 528553 ",http://www.crizto.com/,电话: +65 8382 5011 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:35
Fullsun Marketing Pte Ltd,,,"地址: 146 Jln Besar, Singapore 208864 ",http://www.fullsun.com.sg/,电话: +65 9636 2966 ,enquiries@fullsun.com.sg,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:36
Bathroom Gallery Changi Showroom by Wan Tai & Co Pte Ltd,,,"地址: 146 Jln Besar, Singapore 208864 ",http://www.fullsun.com.sg/,电话: +65 9636 2966 ,enquiries@fullsun.com.sg,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:36
LSK Bath & Light Pte Ltd,,,"地址: 605 Geylang Rd, 新加坡 389544 ",,电话: +65 8228 4786 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:36
Bathworld Pte Ltd,,,"地址: 201 Henderson Rd, #03-14/15, 新加坡 159545 ",http://www.bathworld.net/,电话: +65 6352 2202 ,emran.bd.08@gmail.com,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:37
Empire Bath Pte Ltd,,,"地址: 201 Henderson Rd, #03-14/15, 新加坡 159545 ",http://www.bathworld.net/,电话: +65 6352 2202 ,emran.bd.08@gmail.com,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:37
Diyovation,,,"地址: 3 Ang Mo Kio Street 62, #01-11, 新加坡 569139 ",,电话: +65 6322 4121 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:37
Viva Nueva,,,"地址: 10 Kaki Bukit Rd 1, #01-02 Kaki bukit, 新加坡 416175 ",https://sitelift.site/diyovation/,电话: +65 9178 8796 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:38
Rigel Experience Centre,,,"地址: 20 Changi Business Park Central 2, Rigel Innovation Centre, 新加坡 486031 ",http://www.rigel-group.com/,电话: +65 6812 6288 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:38
Ideal Kitchen and Bathroom Pte Ltd,,,"地址: 577 Balestier Rd, 新加坡 329892 ",http://ideal.com.sg/,电话: +65 6250 1234 ,general@ideal.com.sg,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:38
WaterTapz,,,"地址: 577 Balestier Rd, 新加坡 329892 ",http://ideal.com.sg/,电话: +65 6250 1234 ,general@ideal.com.sg,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:38
Yeoka Lights and Bath,,,"地址: 393 Balestier Rd, 新加坡 329798 ",http://www.watertapz.com.sg/about-us,电话: +65 6259 1179 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:39
Hoe Kee Hardware Pte Ltd (Tai Seng Showroom),,,"地址: 27 Playfair Rd, 新加坡 367991 ",https://www.hoekee.com.sg/,电话: +65 6745 7055 ,enquiries@hoekee.com.sg,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:39
Bathlabz Tradehub 21,,,"地址: 27 Playfair Rd, 新加坡 367991 ",https://www.hoekee.com.sg/,电话: +65 6745 7055 ,enquiries@hoekee.com.sg,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:39
Sim Siang Choon @ Balestier,,,"地址: 18 Boon Lay Wy, #01-129新加坡 609966 ",http://www.bathlabz.com.sg/,电话: +65 6970 0796 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:40
The Equip-Bathrooms Company,,,"地址: 551 Balestier Rd, 新加坡 329868 ",http://www.simsiangchoon.com/,电话: +65 6254 8122 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:40
Sim Siang Choon,,,"地址: 12 Jln Tua Kong, 新加坡 457271 ",https://www.equip-bathrooms.com/,电话: +65 9339 3939 ,ilovemybathroom@equip-design.com,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:40
Hoe Kee Hardware Pte Ltd (IMM Showroom),,,"地址: 2 Jurong East Street 21, #03 - 08 IMM Building, 新加坡 609601 ",http://www.hoekee.com.sg/,电话: +65 6563 5088 ,enquiries@hoekee.com.sg,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:41
Everpros Marketing,,,"地址: 2 Jurong East Street 21, #03 - 08 IMM Building, 新加坡 609601 ",http://www.hoekee.com.sg/,电话: +65 6563 5088 ,enquiries@hoekee.com.sg,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:41
Mobili Living @ Woodlands,,,"地址: 310 Changi Rd, 新加坡 419788 ",https://everprosmarketing.com/,电话: +65 6447 2318 ,,Washbasin cabinet remodeling supply,"Singapore, Singapore, Singapore",2026-05-11 16:41
