Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
Elite Sanitary Trading,,,,,,,Washbasin cabinet showroom,"Singapore, Singapore, Singapore",2026-05-11 15:52
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 269 Changi Rd, 新加坡 419752 ",https://elite269.sg/,电话: +65 6842 3898 ,,Washbasin cabinet showroom,"Singapore, Singapore, Singapore",2026-05-11 15:52
HERA Bathroom Experience Center,,,"地址: 269 Changi Rd, 新加坡 419752 ",https://elite269.sg/,电话: +65 6842 3898 ,elite269e@gmail.com,Washbasin cabinet showroom,"Singapore, Singapore, Singapore",2026-05-11 15:52
Heritage Bathroom Gallery,,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Washbasin cabinet showroom,"Singapore, Singapore, Singapore",2026-05-11 15:52
BATHCRAFT (Climate Vouchers Accepted) (Bathroom & Lighting & Kitchen Appliances Showroom),,,"地址: 718 Geylang Rd, 新加坡 389630 ",https://heritagebathroomgallery.com.sg/,电话: +65 6846 9130 ,,Washbasin cabinet showroom,"Singapore, Singapore, Singapore",2026-05-11 15:53
Bathzone Pte Ltd,,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Washbasin cabinet showroom,"Singapore, Singapore, Singapore",2026-05-11 15:53
Hupfarri Bathroom and Kitchen Gallery (Changi Showroom),,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Washbasin cabinet showroom,"Singapore, Singapore, Singapore",2026-05-11 15:53
Homus Singapore @ T-Space (Bathroom Fixtures & Home Appliances Showroom),,,"地址: 261A/C, Changi Rd, 新加坡 419748 ",https://www.hupfarri.com.sg/,电话: +65 6742 9506 ,enquiry_hupfarri@yahoo.com.sg,Washbasin cabinet showroom,"Singapore, Singapore, Singapore",2026-05-11 15:54
Bacera Bathroom and Kitchen Connoisseur,,,"地址: Tampines North Dr. 1, #01-18 T-Space Building, 新加坡 528559 ",https://www.homussingapore.com/,电话: +65 8089 2811 ,,Washbasin cabinet showroom,"Singapore, Singapore, Singapore",2026-05-11 15:54
BOSHSINI,,,"地址: 714 Geylang Rd, 新加坡 389628 ",https://www.bacera.com.sg/,电话: +65 6842 1101 ,,Washbasin cabinet showroom,"Singapore, Singapore, Singapore",2026-05-11 15:54
Bathroom Warehouse Bukit Merah,,,"地址: 666 Geylang Rd, 新加坡 389594 ",https://www.boshsini.com.sg/,电话: +65 9855 0189 ,,Washbasin cabinet showroom,"Singapore, Singapore, Singapore",2026-05-11 15:54
