Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
Elite Sanitary Trading,,,,,,,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:48
HERA Bathroom Experience Center,,,"地址: 269 Changi Rd, 新加坡 419752 ",https://elite269.sg/,电话: +65 6842 3898 ,elite269e@gmail.com,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:48
Bathzone Pte Ltd,,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:48
Heritage Bathroom Gallery,,,"地址: 718 Geylang Rd, 新加坡 389630 ",https://heritagebathroomgallery.com.sg/,电话: +65 6846 9130 ,,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:48
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: 718 Geylang Rd, 新加坡 389630 ",https://heritagebathroomgallery.com.sg/,电话: +65 6846 9130 ,,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:49
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:49
King Eco Pte Ltd,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:49
BOSHSINI,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,shop@kingeco.sg,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:50
Spazio Home & Bath Pte Ltd,,,"地址: 666 Geylang Rd, 新加坡 389594 ",https://www.boshsini.com.sg/,电话: +65 9855 0189 ,,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:50
Bathroom Warehouse Bukit Merah,,,"地址: 2 Yishun Industrial Street 1, #01-09 Northpoint Bizhub, 新加坡 768159 ",https://spaziohomebathware.com.sg/,电话: +65 6694 1631 ,noreply@spaziohomebathware.com.sg,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:50
Pioneer Hardware Trading Pte. Ltd.,,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:50
BATHCRAFT (Climate Vouchers Accepted) (Bathroom & Lighting & Kitchen Appliances Showroom),,,"地址: 8 Pandan Crescent, #04-02 (Via Cargo, Lobby 1 or Passenger Lobby 6, 新加坡 128464 ",https://www.zaffiro.com.sg/,电话: +65 6256 2831 ,,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:50
Homus Singapore @ T-Space (Bathroom Fixtures & Home Appliances Showroom),,,"地址: Tampines North Dr. 1, #01-18 T-Space Building, 新加坡 528559 ",https://www.homussingapore.com/,电话: +65 8089 2811 ,,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:51
Bacera Bathroom and Kitchen Connoisseur,,,"地址: 714 Geylang Rd, 新加坡 389628 ",https://www.bacera.com.sg/,电话: +65 6842 1101 ,,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:51
Sim Siang Choon Hardware(S) Pte Ltd,,,"地址: 714 Geylang Rd, 新加坡 389628 ",https://www.bacera.com.sg/,电话: +65 6842 1101 ,,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:51
Wasser Bath Pte Ltd,,,"地址: 469 Balestier Rd, 新加坡 329841 ",https://www.wasserbath.com/,电话: +65 6258 8533 ,sales.wasserbath@gmail.com,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:52
Bathroom Accessories I Zenterra Shop,,,"地址: 469 Balestier Rd, 新加坡 329841 ",https://www.wasserbath.com/,电话: +65 6258 8533 ,sales.wasserbath@gmail.com,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:52
Tuscani Tapware,,,"地址: 61 Ubi Rd 1, #01-26/27 Zenttera Lightings, Oxley Bizhub 1, 新加坡 408727 ",https://www.facebook.com/share/1KKCxH32cK/?mibextid=wwXIfr,电话: +65 8725 6676 ,,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:52
Everyhome.SG | Online Home and Bathroom Supply Store,,,"地址: 50 Genting Ln, #03-03 实达工业大厦新加坡 349558 ",http://www.tuscanitapware.com/,电话: +65 8938 8912 ,,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:52
Hoe Kee Superstore Pte Ltd (Jalan Besar Showroom),,,"地址: 50 Genting Ln, #03-03 实达工业大厦新加坡 349558 ",http://www.tuscanitapware.com/,电话: +65 8938 8912 ,,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:53
Uniqool Engineering & Services Pte Ltd - Bathroom and Kitchen Specialised Store,,,"地址: 1 Jalan Berseh, #01-09 to #01-13 New World Centre, 新加坡 209037 ",http://www.hoekee.com.sg/,电话: +65 6392 9909 ,enquiries@hoekee.com.sg,Washbasin cabinet supplier,"Singapore, Singapore, Singapore",2026-05-11 15:54
