Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
Elite Sanitary Trading,,,"地址: 269 Changi Rd, 新加坡 419752 ",https://elite269.sg/,电话: +65 6842 3898 ,elite269e@gmail.com,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:53
HERA Bathroom Experience Center,,,"地址: 269 Changi Rd, 新加坡 419752 ",https://elite269.sg/,电话: +65 6842 3898 ,elite269e@gmail.com,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:54
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:54
Bathzone Pte Ltd,,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:54
Heritage Bathroom Gallery,,,"地址: 718 Geylang Rd, 新加坡 389630 ",https://heritagebathroomgallery.com.sg/,电话: +65 6846 9130 ,,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:55
Pioneer Hardware Trading Pte. Ltd.,,,"地址: 8 Pandan Crescent, #04-02 (Via Cargo, Lobby 1 or Passenger Lobby 6, 新加坡 128464 ",https://www.zaffiro.com.sg/,电话: +65 6256 2831 ,,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:55
Bathroom Warehouse Bukit Merah,,,"地址: 8 Pandan Crescent, #04-02 (Via Cargo, Lobby 1 or Passenger Lobby 6, 新加坡 128464 ",https://www.zaffiro.com.sg/,电话: +65 6256 2831 ,,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:55
Homus Singapore @ T-Space (Bathroom Fixtures & Home Appliances Showroom),,,"地址: Tampines North Dr. 1, #01-18 T-Space Building, 新加坡 528559 ",https://www.homussingapore.com/,电话: +65 8089 2811 ,,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:55
BOSHSINI,,,"地址: 666 Geylang Rd, 新加坡 389594 ",https://www.boshsini.com.sg/,电话: +65 9855 0189 ,,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:56
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: 666 Geylang Rd, 新加坡 389594 ",https://www.boshsini.com.sg/,电话: +65 9855 0189 ,,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:56
Home & Bathroom Building Products Pte Ltd,,,"地址: 566 Balestier Rd, 新加坡 329883 ",http://www.homeandbathroom.com.sg/,电话: +65 6253 4655 ,sales@homeandbathroom.com.sg,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:56
King Eco Pte Ltd,,,"地址: 566 Balestier Rd, 新加坡 329883 ",http://www.homeandbathroom.com.sg/,电话: +65 6253 4655 ,sales@homeandbathroom.com.sg,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:56
BATHCRAFT (Climate Vouchers Accepted) (Bathroom & Lighting & Kitchen Appliances Showroom),,,"地址: 65 Ubi Rd 1, #01-89 Oxley Bizhub, 新加坡 408729 ",https://bathcraft.com.sg/,电话: +65 9896 8585 ,,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:57
Sim Siang Choon Hardware(S) Pte Ltd,,,"地址: 42 Changi South Street 1, 新加坡 486763 ",https://simsiangchoon.com/,电话: +65 6266 6632 ,,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:57
Hoe Kee Superstore Pte Ltd (Jalan Besar Showroom),,,"地址: 1 Jalan Berseh, #01-09 to #01-13 New World Centre, 新加坡 209037 ",http://www.hoekee.com.sg/,电话: +65 6392 9909 ,enquiries@hoekee.com.sg,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:57
Spazio Home & Bath Pte Ltd,,,"地址: 2 Yishun Industrial Street 1, #01-09 Northpoint Bizhub, 新加坡 768159 ",https://spaziohomebathware.com.sg/,电话: +65 6694 1631 ,noreply@spaziohomebathware.com.sg,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:58
Bacera Bathroom and Kitchen Connoisseur,,,"地址: 714 Geylang Rd, 新加坡 389628 ",https://www.bacera.com.sg/,电话: +65 6842 1101 ,,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:58
Tapz & Coffee,,,"地址: 157 Jln Besar, 新加坡 208874 ",https://tapzandcoffee.com.sg/,电话: +65 9698 2623 ,"tapzandcoffee@gmail.com, example@gmail.com",Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:58
Everyhome.SG | Online Home and Bathroom Supply Store,,,"地址: 1090 Lower Delta Rd, #04-06, 新加坡 169201 ",https://everyhome.sg/,电话: +65 6232 6612 ,,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:58
Hupfarri Bathroom and Kitchen Gallery (Changi Showroom),,,"地址: 261A/C, Changi Rd, 新加坡 419748 ",https://www.hupfarri.com.sg/,电话: +65 6742 9506 ,enquiry_hupfarri@yahoo.com.sg,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:59
Wasser Bath Pte Ltd,,,"地址: 469 Balestier Rd, 新加坡 329841 ",https://www.wasserbath.com/,电话: +65 6258 8533 ,sales.wasserbath@gmail.com,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:59
Haus Square,,,"地址: 617 Geylang Rd, 新加坡 389556 ",https://www.haussquare.com/,电话: +65 6518 4981 ,sales@haussquare.com,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:59
Bathroom Warehouse Ubi Vertex,,,"地址: 33 #01 51 Ubi Ave 3, #01-51 Vertex, 新加坡 408868 ",,电话: +65 6659 0796 ,,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 15:59
D'Posh Pte Ltd,,,"地址: 55 Serangoon North Ave 4, #01-04, S9@Serangoon 555859 ",http://www.dposh.com.sg/,电话: +65 6509 8528 ,dposhonline@gmail.com,Washbasin cabinet supply store,"Singapore, Singapore, Singapore",2026-05-11 16:00
