Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
HERA Bathroom Experience Center,,,"地址: 601 MacPherson Rd, #04-24 Grantral Mall/Grantral Complex, 新加坡 368242 ",https://www.herabathroom.com/,电话: +65 8222 2978 ,,Washbasin cabinet wholesaler,"Singapore, Singapore, Singapore",2026-05-11 15:39
Elite Sanitary Trading,,,"地址: 269 Changi Rd, 新加坡 419752 ",https://elite269.sg/,电话: +65 6842 3898 ,elite269e@gmail.com,Washbasin cabinet wholesaler,"Singapore, Singapore, Singapore",2026-05-11 15:39
Bathzone Pte Ltd,,,"地址: 666 Geylang Rd, 新加坡 389594 ",http://www.bathzone.com.sg/,电话: +65 6842 3180 ,,Washbasin cabinet wholesaler,"Singapore, Singapore, Singapore",2026-05-11 15:40
Homus Singapore (Bathroom fixtures & Home appliances showroom),,,"地址: 116 Lavender St., #01-03 Pek Chuan Building, 新加坡 338730 ",http://www.homussingapore.com/,电话: +65 8399 9995 ,,Washbasin cabinet wholesaler,"Singapore, Singapore, Singapore",2026-05-11 15:40
Bathroom Warehouse Bukit Merah,,,"地址: 16 Jln Kilang, #01-01 Hoi Hup Building, 新加坡 159416 ",,电话: +65 6238 0548 ,,Washbasin cabinet wholesaler,"Singapore, Singapore, Singapore",2026-05-11 15:40
Lucky Khoon Bathroom Studio (Enterprise One),,,"地址: 1 Kaki Bukit Rd 1, #01-01/02/03/04/05 Enterprise One, 新加坡 415934 ",http://www.luckykhoon.com.sg/,电话: +65 6346 2172 ,,Washbasin cabinet wholesaler,"Singapore, Singapore, Singapore",2026-05-11 15:40
Heritage Bathroom Gallery,,,"地址: 718 Geylang Rd, 新加坡 389630 ",https://heritagebathroomgallery.com.sg/,电话: +65 6846 9130 ,,Washbasin cabinet wholesaler,"Singapore, Singapore, Singapore",2026-05-11 15:42
King Eco Pte Ltd,,,"地址: 623 Geylang Rd, 新加坡 389561 ",https://kingeco.sg/,电话: +65 6993 1128 ,,Washbasin cabinet wholesaler,"Singapore, Singapore, Singapore",2026-05-11 15:42
BOSHSINI,,,"地址: 666 Geylang Rd, 新加坡 389594 ",https://www.boshsini.com.sg/,电话: +65 9855 0189 ,,Washbasin cabinet wholesaler,"Singapore, Singapore, Singapore",2026-05-11 15:43
Bacera Bathroom and Kitchen Connoisseur,,,"地址: 714 Geylang Rd, 新加坡 389628 ",https://www.bacera.com.sg/,电话: +65 6842 1101 ,,Washbasin cabinet wholesaler,"Singapore, Singapore, Singapore",2026-05-11 15:43
Pioneer Hardware Trading Pte. Ltd.,,,"地址: 8 Pandan Crescent, #04-02 (Via Cargo, Lobby 1 or Passenger Lobby 6, 新加坡 128464 ",https://www.zaffiro.com.sg/,电话: +65 6256 2831 ,,Washbasin cabinet wholesaler,"Singapore, Singapore, Singapore",2026-05-11 15:44
Bathroom Warehouse Ubi Vertex,,,"地址: 33 #01 51 Ubi Ave 3, #01-51 Vertex, 新加坡 408868 ",,电话: +65 6659 0796 ,,Washbasin cabinet wholesaler,"Singapore, Singapore, Singapore",2026-05-11 15:44
